[2200, 1700]
[paragraph, [291.0, 70.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 106.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 142.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 178.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 214.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 250.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 286.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 322.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 358.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 394.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 430.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 466.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 502.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 538.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 574.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 610.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 646.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 682.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 718.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [291.0, 754.0, 1123.0, 36.0], shoonya_2sTRCAIRKPST3C, 5731565]
[paragraph, [320.0, 815.0, 1081.0, 36.0], shoonya_3sQ6I99KN80Q62, 5731565]
[paragraph, [320.0, 851.0, 1081.0, 36.0], shoonya_3sQ6I99KN80Q62, 5731565]
[paragraph, [320.0, 887.0, 1081.0, 36.0], shoonya_3sQ6I99KN80Q62, 5731565]
[section-title, [446.0, 955.0, 826.0, 52.5], shoonya_1sQV1TTO3HYAGW, 5731565]
[section-title, [446.0, 1007.5, 826.0, 52.5], shoonya_1sQV1TTO3HYAGW, 5731565]
[sub-section-title, [350.0, 1129.0, 821.0, 55.5], shoonya_4s65ULVWOCIB64, 5731565]
[paragraph, [321.0, 1199.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1235.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1271.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1307.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1343.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1379.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1415.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1451.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1487.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1523.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1559.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1595.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1631.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1667.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1703.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1739.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1775.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1811.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1847.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[paragraph, [321.0, 1883.0, 1087.0, 36.0], shoonya_0sOJ5ZYYA297EE, 5731565]
[folio, [437.0, 2021.0, 371.0, 36.0], BjIknL6b0x, 5731565]
