[2339, 1654]
[paragraph, [304.0, 196.0, 1160.0, 36.0], shoonya_3sU11VH0LCTMA6, 5754099]
[paragraph, [304.0, 232.0, 1160.0, 36.0], shoonya_3sU11VH0LCTMA6, 5754099]
[paragraph, [304.0, 268.0, 1160.0, 36.0], shoonya_3sU11VH0LCTMA6, 5754099]
[paragraph, [304.0, 304.0, 1160.0, 36.0], shoonya_3sU11VH0LCTMA6, 5754099]
[paragraph, [304.0, 368.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 404.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 440.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 476.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 512.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 548.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 584.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 620.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 656.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 692.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 728.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 764.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 800.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 836.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 872.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 908.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 944.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 980.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1016.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1052.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1088.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1124.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1160.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1196.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1232.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1268.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1304.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1340.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1376.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1412.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1448.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1484.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1520.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1556.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1592.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[paragraph, [304.0, 1628.0, 1167.0, 36.0], shoonya_0sC9L8U4TUKPXD, 5754099]
[reference, [309.0, 2022.0, 583.0, 36.0], shoonya_2s796UFBE9XIHL, 5754099]
