[3508, 2481]
[contact-info, [657.0, 359.0, 1169.0, 52.5], dxWmd59SEy, 6516205]
[contact-info, [657.0, 411.5, 1169.0, 52.5], dxWmd59SEy, 6516205]
[section-title, [846.0, 530.0, 781.0, 93.0], Nbd46vabXa, 6516205]
[dateline, [1833.0, 934.0, 430.0, 52.5], shoonya_5s6SBG1ATRPI43, 6516205]
[paragraph, [213.0, 1191.0, 266.0, 52.5], -oFN_O5L5U, 6516205]
[paragraph, [215.0, 1318.0, 2081.0, 52.5], shoonya_1s09X381BFHH0K, 6516205]
[paragraph, [215.0, 1370.5, 2081.0, 52.5], shoonya_1s09X381BFHH0K, 6516205]
[paragraph, [215.0, 1423.0, 2081.0, 52.5], shoonya_1s09X381BFHH0K, 6516205]
[paragraph, [215.0, 1475.5, 2081.0, 52.5], shoonya_1s09X381BFHH0K, 6516205]
[paragraph, [215.0, 1528.0, 2081.0, 52.5], shoonya_1s09X381BFHH0K, 6516205]
[paragraph, [215.0, 1580.5, 2081.0, 52.5], shoonya_1s09X381BFHH0K, 6516205]
[unordered-list, [289.0, 1723.0, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 1775.5, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 1828.0, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 1880.5, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 1933.0, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 1985.5, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 2038.0, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 2090.5, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 2143.0, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 2195.5, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[unordered-list, [289.0, 2248.0, 1974.0, 52.5], shoonya_0s42JZV2LTJK5T, 6516205]
[contact-info, [204.0, 2414.0, 442.0, 52.5], shoonya_4sGQSI8VDF187M, 6516205]
[contact-info, [204.0, 2466.5, 442.0, 52.5], shoonya_4sGQSI8VDF187M, 6516205]
