[1518, 1075]
[paragraph, [82.0, 130.0, 441.0, 36.0], gP3DXh5GNw, 5722192]
[paragraph, [82.0, 166.0, 441.0, 36.0], gP3DXh5GNw, 5722192]
[paragraph, [82.0, 202.0, 441.0, 36.0], gP3DXh5GNw, 5722192]
[paragraph, [82.0, 238.0, 441.0, 36.0], gP3DXh5GNw, 5722192]
[paragraph, [82.0, 274.0, 441.0, 36.0], gP3DXh5GNw, 5722192]
[paragraph, [532.0, 147.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 183.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 219.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 255.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 291.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 327.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 363.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 399.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 435.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 471.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 507.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 543.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 579.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 615.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 651.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 687.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 723.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 759.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 795.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 831.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 867.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 903.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 939.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 975.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 1011.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 1047.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 1083.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 1119.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [532.0, 1155.0, 426.0, 36.0], shoonya_4sAXXJKNKI15ZZ, 5722192]
[paragraph, [86.0, 332.0, 438.0, 36.0], shoonya_1sVRL0ENFPEQZB, 5722192]
[paragraph, [86.0, 368.0, 438.0, 36.0], shoonya_1sVRL0ENFPEQZB, 5722192]
[paragraph, [86.0, 404.0, 438.0, 36.0], shoonya_1sVRL0ENFPEQZB, 5722192]
[paragraph, [86.0, 440.0, 438.0, 36.0], shoonya_1sVRL0ENFPEQZB, 5722192]
[paragraph, [86.0, 476.0, 438.0, 36.0], shoonya_1sVRL0ENFPEQZB, 5722192]
[paragraph, [86.0, 512.0, 438.0, 36.0], shoonya_1sVRL0ENFPEQZB, 5722192]
