[596, 421]
[section-title, [21.0, 21.0, 190.0, 30.0], bxqeqjAgiT, 6534335]
[paragraph, [19.0, 68.0, 181.0, 18.0], 5cfVG0eUjn, 6534335]
[paragraph, [19.0, 86.0, 181.0, 18.0], 5cfVG0eUjn, 6534335]
[paragraph, [19.0, 104.0, 181.0, 18.0], 5cfVG0eUjn, 6534335]
[paragraph, [19.0, 122.0, 181.0, 18.0], 5cfVG0eUjn, 6534335]
[paragraph, [19.0, 140.0, 181.0, 18.0], 5cfVG0eUjn, 6534335]
[paragraph, [19.0, 158.0, 181.0, 18.0], 5cfVG0eUjn, 6534335]
[paragraph, [231.0, 343.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 361.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 379.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 397.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 415.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 433.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 451.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 469.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
[paragraph, [231.0, 487.0, 155.0, 18.0], -fwmOAQO8p, 6534335]
