[1792, 1278]
[headline, [263.0, 560.0, 779.0, 37.5], shoonya_6sFUJOV2CEDWQT, 5744616]
[headline, [263.0, 597.5, 779.0, 37.5], shoonya_6sFUJOV2CEDWQT, 5744616]
[paragraph, [651.0, 661.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 697.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 733.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 769.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 805.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 841.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 877.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 913.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 949.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 985.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 1021.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 1057.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 1093.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 1129.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [651.0, 1165.0, 555.0, 36.0], shoonya_1s1CSK1M1C4RY0, 5744616]
[paragraph, [74.0, 1256.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1292.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1328.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1364.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1400.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1436.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1472.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1508.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1544.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
[paragraph, [74.0, 1580.0, 555.0, 36.0], shoonya_2s1HBP99L6SS1Y, 5744616]
