[3509, 2480]
[paragraph, [362.0, 405.0, 1752.0, 52.5], tvzzoORzLf, 5723621]
[paragraph, [362.0, 457.5, 1752.0, 52.5], tvzzoORzLf, 5723621]
[paragraph, [362.0, 510.0, 1752.0, 52.5], tvzzoORzLf, 5723621]
[paragraph, [362.0, 814.0, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 866.5, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 919.0, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 971.5, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 1024.0, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 1076.5, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 1129.0, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 1181.5, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [362.0, 1234.0, 1767.0, 52.5], tLzpahnzVL, 5723621]
[paragraph, [359.0, 1402.0, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1454.5, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1507.0, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1559.5, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1612.0, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1664.5, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1717.0, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1769.5, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1822.0, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1874.5, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1927.0, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 1979.5, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [359.0, 2032.0, 1774.0, 52.5], y3hb9-Pr7d, 5723621]
[paragraph, [356.0, 2189.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2241.5, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2294.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2346.5, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2399.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2451.5, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2504.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2556.5, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2609.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2661.5, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2714.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2766.5, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2819.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2871.5, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2924.0, 1777.0, 52.5], BQydKM14lH, 5723621]
[paragraph, [356.0, 2976.5, 1777.0, 52.5], BQydKM14lH, 5723621]
