[2806, 1984]
[paragraph, [328.0, 189.0, 1435.0, 46.5], shoonya_0sLV5AGBY60JLP, 5698987]
[paragraph, [328.0, 235.5, 1435.0, 46.5], shoonya_0sLV5AGBY60JLP, 5698987]
[paragraph, [328.0, 282.0, 1435.0, 46.5], shoonya_0sLV5AGBY60JLP, 5698987]
[paragraph, [328.0, 328.5, 1435.0, 46.5], shoonya_0sLV5AGBY60JLP, 5698987]
[paragraph, [328.0, 375.0, 1435.0, 46.5], shoonya_0sLV5AGBY60JLP, 5698987]
[paragraph, [328.0, 421.5, 1435.0, 46.5], shoonya_0sLV5AGBY60JLP, 5698987]
[paragraph, [344.0, 518.0, 1414.0, 46.5], shoonya_2sSKX4MIJALBWO, 5698987]
[paragraph, [344.0, 564.5, 1414.0, 46.5], shoonya_2sSKX4MIJALBWO, 5698987]
[paragraph, [344.0, 611.0, 1414.0, 46.5], shoonya_2sSKX4MIJALBWO, 5698987]
[paragraph, [344.0, 657.5, 1414.0, 46.5], shoonya_2sSKX4MIJALBWO, 5698987]
[paragraph, [344.0, 704.0, 1414.0, 46.5], shoonya_2sSKX4MIJALBWO, 5698987]
[paragraph, [344.0, 750.5, 1414.0, 46.5], shoonya_2sSKX4MIJALBWO, 5698987]
[paragraph, [344.0, 797.0, 1414.0, 46.5], shoonya_2sSKX4MIJALBWO, 5698987]
[paragraph, [339.0, 911.0, 1417.0, 46.5], shoonya_1sXCD5J1006CC5, 5698987]
[paragraph, [339.0, 957.5, 1417.0, 46.5], shoonya_1sXCD5J1006CC5, 5698987]
[paragraph, [339.0, 1004.0, 1417.0, 46.5], shoonya_1sXCD5J1006CC5, 5698987]
[paragraph, [339.0, 1050.5, 1417.0, 46.5], shoonya_1sXCD5J1006CC5, 5698987]
[paragraph, [339.0, 1097.0, 1417.0, 46.5], shoonya_1sXCD5J1006CC5, 5698987]
[paragraph, [339.0, 1143.5, 1417.0, 46.5], shoonya_1sXCD5J1006CC5, 5698987]
[paragraph, [339.0, 1190.0, 1417.0, 46.5], shoonya_1sXCD5J1006CC5, 5698987]
[ordered-list, [326.0, 1303.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1349.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1396.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1442.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1489.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1535.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1582.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1628.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1675.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1721.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1768.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1814.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1861.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1907.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 1954.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2000.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2047.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2093.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2140.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2186.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2233.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2279.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2326.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2372.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2419.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2465.5, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
[ordered-list, [326.0, 2512.0, 1439.0, 46.5], shoonya_5sXR78ZNXWGCTX, 5698987]
