[2071, 1502]
[paragraph, [274.0, 210.0, 1094.0, 36.0], q8S2nemTd0, 5651239]
[paragraph, [274.0, 246.0, 1094.0, 36.0], q8S2nemTd0, 5651239]
[paragraph, [274.0, 282.0, 1094.0, 36.0], q8S2nemTd0, 5651239]
[paragraph, [274.0, 318.0, 1094.0, 36.0], q8S2nemTd0, 5651239]
[paragraph, [274.0, 354.0, 1094.0, 36.0], q8S2nemTd0, 5651239]
[section-title, [281.0, 442.0, 876.0, 52.5], shoonya_4sQ2J4O7E515CB, 5651239]
[paragraph, [269.0, 539.0, 1099.0, 36.0], shoonya_2s8QCX5YOGCYET, 5651239]
[paragraph, [269.0, 575.0, 1099.0, 36.0], shoonya_2s8QCX5YOGCYET, 5651239]
[paragraph, [269.0, 611.0, 1099.0, 36.0], shoonya_2s8QCX5YOGCYET, 5651239]
[paragraph, [269.0, 647.0, 1099.0, 36.0], shoonya_2s8QCX5YOGCYET, 5651239]
[paragraph, [269.0, 683.0, 1099.0, 36.0], shoonya_2s8QCX5YOGCYET, 5651239]
[paragraph, [269.0, 719.0, 1099.0, 36.0], shoonya_2s8QCX5YOGCYET, 5651239]
[paragraph, [269.0, 755.0, 1099.0, 36.0], shoonya_2s8QCX5YOGCYET, 5651239]
[paragraph, [274.0, 838.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 874.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 910.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 946.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 982.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1018.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1054.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1090.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1126.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1162.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1198.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1234.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1270.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [274.0, 1306.0, 1090.0, 36.0], shoonya_1sZF7X7L715CF2, 5651239]
[paragraph, [277.0, 1399.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1435.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1471.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1507.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1543.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1579.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1615.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1651.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1687.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[paragraph, [277.0, 1723.0, 1082.0, 36.0], shoonya_0sTLCK2ZTTW4JU, 5651239]
[footnote, [268.0, 1853.0, 1081.0, 36.0], RUgBJZm6Ky, 5651239]
[footnote, [268.0, 1889.0, 1081.0, 36.0], RUgBJZm6Ky, 5651239]
[footnote, [268.0, 1925.0, 1081.0, 36.0], RUgBJZm6Ky, 5651239]
[footnote, [268.0, 1961.0, 1081.0, 36.0], RUgBJZm6Ky, 5651239]
