[1300, 900]
[folio, [391.0, 24.0, 122.0, 18.0], 4Q3Fxy_82S, 5732217]
[folio, [391.0, 42.0, 122.0, 18.0], 4Q3Fxy_82S, 5732217]
[paragraph, [94.0, 102.0, 704.0, 18.0], shoonya_5sKTSLKN0I4L1Z, 5732217]
[paragraph, [94.0, 120.0, 704.0, 18.0], shoonya_5sKTSLKN0I4L1Z, 5732217]
[paragraph, [94.0, 138.0, 704.0, 18.0], shoonya_5sKTSLKN0I4L1Z, 5732217]
[paragraph, [94.0, 156.0, 704.0, 18.0], shoonya_5sKTSLKN0I4L1Z, 5732217]
[paragraph, [87.0, 193.0, 716.0, 18.0], shoonya_7sPGJ7HPIJQK6Y, 5732217]
[paragraph, [87.0, 211.0, 716.0, 18.0], shoonya_7sPGJ7HPIJQK6Y, 5732217]
[paragraph, [87.0, 229.0, 716.0, 18.0], shoonya_7sPGJ7HPIJQK6Y, 5732217]
[paragraph, [87.0, 247.0, 716.0, 18.0], shoonya_7sPGJ7HPIJQK6Y, 5732217]
[paragraph, [85.0, 284.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 302.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 320.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 338.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 356.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 374.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 392.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 410.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 428.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 446.0, 719.0, 18.0], shoonya_9sLP3KAC63SLIK, 5732217]
[paragraph, [85.0, 472.0, 714.0, 18.0], shoonya_2sYYOOIX94TLJ0, 5732217]
[paragraph, [85.0, 490.0, 714.0, 18.0], shoonya_2sYYOOIX94TLJ0, 5732217]
[paragraph, [85.0, 508.0, 714.0, 18.0], shoonya_2sYYOOIX94TLJ0, 5732217]
[paragraph, [85.0, 526.0, 714.0, 18.0], shoonya_2sYYOOIX94TLJ0, 5732217]
[paragraph, [85.0, 544.0, 714.0, 18.0], shoonya_2sYYOOIX94TLJ0, 5732217]
[paragraph, [85.0, 562.0, 714.0, 18.0], shoonya_2sYYOOIX94TLJ0, 5732217]
[paragraph, [85.0, 580.0, 714.0, 18.0], shoonya_2sYYOOIX94TLJ0, 5732217]
[paragraph, [82.0, 611.0, 712.0, 18.0], shoonya_8s3VXHC3P30O5C, 5732217]
[paragraph, [82.0, 629.0, 712.0, 18.0], shoonya_8s3VXHC3P30O5C, 5732217]
[paragraph, [82.0, 647.0, 712.0, 18.0], shoonya_8s3VXHC3P30O5C, 5732217]
[paragraph, [82.0, 665.0, 712.0, 18.0], shoonya_8s3VXHC3P30O5C, 5732217]
[paragraph, [82.0, 683.0, 712.0, 18.0], shoonya_8s3VXHC3P30O5C, 5732217]
[paragraph, [82.0, 701.0, 712.0, 18.0], shoonya_8s3VXHC3P30O5C, 5732217]
[paragraph, [82.0, 719.0, 712.0, 18.0], shoonya_8s3VXHC3P30O5C, 5732217]
[paragraph, [82.0, 750.0, 713.0, 18.0], shoonya_0s2VQ214WI679W, 5732217]
[paragraph, [82.0, 768.0, 713.0, 18.0], shoonya_0s2VQ214WI679W, 5732217]
[paragraph, [82.0, 786.0, 713.0, 18.0], shoonya_0s2VQ214WI679W, 5732217]
[paragraph, [82.0, 804.0, 713.0, 18.0], shoonya_0s2VQ214WI679W, 5732217]
[paragraph, [88.0, 846.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 864.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 882.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 900.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 918.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 936.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 954.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 972.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [88.0, 990.0, 714.0, 18.0], shoonya_3s9JFEUAERT021, 5732217]
[paragraph, [83.0, 1027.0, 711.0, 18.0], shoonya_4sBA6XIRYV5SP9, 5732217]
[paragraph, [83.0, 1045.0, 711.0, 18.0], shoonya_4sBA6XIRYV5SP9, 5732217]
[paragraph, [83.0, 1063.0, 711.0, 18.0], shoonya_4sBA6XIRYV5SP9, 5732217]
[paragraph, [83.0, 1081.0, 711.0, 18.0], shoonya_4sBA6XIRYV5SP9, 5732217]
[paragraph, [83.0, 1099.0, 711.0, 18.0], shoonya_4sBA6XIRYV5SP9, 5732217]
[paragraph, [83.0, 1117.0, 711.0, 18.0], shoonya_4sBA6XIRYV5SP9, 5732217]
[paragraph, [83.0, 1135.0, 711.0, 18.0], shoonya_4sBA6XIRYV5SP9, 5732217]
[paragraph, [79.0, 1166.0, 712.0, 18.0], shoonya_6sW9TL6TT47LM5, 5732217]
[paragraph, [79.0, 1184.0, 712.0, 18.0], shoonya_6sW9TL6TT47LM5, 5732217]
[paragraph, [79.0, 1202.0, 712.0, 18.0], shoonya_6sW9TL6TT47LM5, 5732217]
[paragraph, [79.0, 1220.0, 712.0, 18.0], shoonya_6sW9TL6TT47LM5, 5732217]
[paragraph, [79.0, 1238.0, 712.0, 18.0], shoonya_6sW9TL6TT47LM5, 5732217]
