[802, 612]
[folio, [273.0, 120.0, 82.0, 18.0], QesHqx4Sqr, 6459857]
[folio, [273.0, 138.0, 82.0, 18.0], QesHqx4Sqr, 6459857]
[paragraph, [152.0, 158.0, 321.0, 18.0], shoonya_0sEGRD06S96SXD, 6459857]
[paragraph, [152.0, 176.0, 321.0, 18.0], shoonya_0sEGRD06S96SXD, 6459857]
[paragraph, [152.0, 194.0, 321.0, 18.0], shoonya_0sEGRD06S96SXD, 6459857]
[paragraph, [152.0, 212.0, 321.0, 18.0], shoonya_0sEGRD06S96SXD, 6459857]
[paragraph, [152.0, 230.0, 321.0, 18.0], shoonya_0sEGRD06S96SXD, 6459857]
[paragraph, [152.0, 248.0, 321.0, 18.0], shoonya_0sEGRD06S96SXD, 6459857]
[paragraph, [152.0, 266.0, 321.0, 18.0], shoonya_0sEGRD06S96SXD, 6459857]
[paragraph, [154.0, 291.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 309.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 327.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 345.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 363.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 381.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 399.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 417.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 435.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 453.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 471.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 489.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 507.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 525.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 543.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 561.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 579.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 597.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 615.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 633.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
[paragraph, [154.0, 651.0, 316.0, 18.0], shoonya_1s7M360JRH0Z2H, 6459857]
