[690, 512]
[folio, [199.0, 34.0, 101.0, 18.0], apEenijvKh, 6491893]
[ordered-list, [27.0, 58.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 76.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 94.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 112.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 130.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 148.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 166.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 184.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 202.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 220.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 238.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 256.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 274.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 292.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 310.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 328.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[ordered-list, [27.0, 346.0, 469.0, 18.0], FO8GNy1UJj, 6491893]
[sub-ordered-list, [37.0, 215.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[sub-ordered-list, [37.0, 233.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[sub-ordered-list, [37.0, 251.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[sub-ordered-list, [37.0, 269.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[sub-ordered-list, [37.0, 287.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[sub-ordered-list, [37.0, 305.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[sub-ordered-list, [37.0, 323.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[sub-ordered-list, [37.0, 341.0, 435.0, 18.0], SkvGW95E3j, 6491893]
[paragraph, [23.0, 387.0, 446.0, 18.0], RgQDA6rmCu, 6491893]
[paragraph, [27.0, 420.0, 443.0, 18.0], BA-wlEooUV, 6491893]
[contact-info, [26.0, 467.0, 279.0, 18.0], XiQYk1J7EJ, 6491893]
[contact-info, [26.0, 485.0, 279.0, 18.0], XiQYk1J7EJ, 6491893]
[contact-info, [26.0, 503.0, 279.0, 18.0], XiQYk1J7EJ, 6491893]
[contact-info, [26.0, 521.0, 279.0, 18.0], XiQYk1J7EJ, 6491893]
[footnote, [319.0, 557.0, 146.0, 18.0], fO78DCpTyZ, 6491893]
[footnote, [319.0, 575.0, 146.0, 18.0], fO78DCpTyZ, 6491893]
