[2339, 1654]
[section-title, [636.0, 839.0, 200.0, 52.5], CJksPXvzQh, 5690068]
[paragraph, [576.0, 930.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 966.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1002.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1038.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1074.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1110.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1146.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1182.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1218.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [576.0, 1254.0, 372.0, 36.0], gYfJkF0xEq, 5690068]
[paragraph, [578.0, 1321.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1357.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1393.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1429.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1465.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1501.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1537.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1573.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[paragraph, [578.0, 1609.0, 438.0, 36.0], GzdecjbOjH, 5690068]
[unordered-list, [194.0, 1812.0, 942.0, 36.0], shoonya_3sGV8JP0IDSBZK, 5690068]
[unordered-list, [194.0, 1848.0, 942.0, 36.0], shoonya_3sGV8JP0IDSBZK, 5690068]
[unordered-list, [194.0, 1884.0, 942.0, 36.0], shoonya_3sGV8JP0IDSBZK, 5690068]
[unordered-list, [194.0, 1920.0, 942.0, 36.0], shoonya_3sGV8JP0IDSBZK, 5690068]
