[1754, 1241]
[section-title, [100.0, 113.0, 538.0, 49.5], shoonya_1sSTPIGWLVTWOQ, 5715767]
[sub-section-title, [100.0, 200.0, 544.0, 36.0], UAbNCdPV25, 5715767]
[sub-section-title, [100.0, 236.0, 544.0, 36.0], UAbNCdPV25, 5715767]
[section-title, [737.0, 236.0, 273.0, 49.5], 9iyXD-aE-z, 5715767]
[sub-section-title, [107.0, 310.0, 435.0, 36.0], VzgDEdAXur, 5715767]
[sub-section-title, [740.0, 338.0, 175.0, 36.0], shoonya_9s7EQ21PNHNUI8, 5715767]
[unordered-list, [113.0, 379.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [113.0, 415.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [113.0, 451.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [113.0, 487.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [113.0, 523.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [113.0, 559.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [113.0, 595.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [113.0, 631.0, 546.0, 36.0], shoonya_8s1FB426M6A8OX, 5715767]
[unordered-list, [728.0, 394.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[unordered-list, [728.0, 430.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[unordered-list, [728.0, 466.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[unordered-list, [728.0, 502.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[unordered-list, [728.0, 538.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[unordered-list, [728.0, 574.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[unordered-list, [728.0, 610.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[unordered-list, [728.0, 646.0, 419.0, 36.0], shoonya_0sAW92TNSXP2RT, 5715767]
[ordered-list, [100.0, 686.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 722.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 758.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 794.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 830.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 866.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 902.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 938.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 974.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 1010.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 1046.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 1082.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 1118.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 1154.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[ordered-list, [100.0, 1190.0, 552.0, 36.0], shoonya_4sUXJJ6AYVIXCN, 5715767]
[paragraph, [729.0, 707.0, 389.0, 36.0], Mg9MD5aq8B, 5715767]
[paragraph, [729.0, 743.0, 389.0, 36.0], Mg9MD5aq8B, 5715767]
[paragraph, [729.0, 779.0, 389.0, 36.0], Mg9MD5aq8B, 5715767]
[paragraph, [729.0, 815.0, 389.0, 36.0], Mg9MD5aq8B, 5715767]
[paragraph, [729.0, 851.0, 389.0, 36.0], Mg9MD5aq8B, 5715767]
[paragraph, [729.0, 887.0, 389.0, 36.0], Mg9MD5aq8B, 5715767]
[paragraph, [727.0, 970.0, 397.0, 36.0], mTWK7IhoV6, 5715767]
[paragraph, [727.0, 1006.0, 397.0, 36.0], mTWK7IhoV6, 5715767]
[unordered-list, [112.0, 1271.0, 503.0, 36.0], shoonya_5sTXZ80BRR25RP, 5715767]
[unordered-list, [112.0, 1307.0, 503.0, 36.0], shoonya_5sTXZ80BRR25RP, 5715767]
[paragraph, [111.0, 1368.0, 485.0, 36.0], CYHG7-k54U, 5715767]
