[1650, 1275]
[flag, [183.0, 187.0, 970.0, 36.0], shoonya_4s3BIR6ETMC0Y2, 5746193]
[flag, [183.0, 223.0, 970.0, 36.0], shoonya_4s3BIR6ETMC0Y2, 5746193]
[flag, [183.0, 259.0, 970.0, 36.0], shoonya_4s3BIR6ETMC0Y2, 5746193]
[flag, [183.0, 295.0, 970.0, 36.0], shoonya_4s3BIR6ETMC0Y2, 5746193]
[flag, [183.0, 331.0, 970.0, 36.0], shoonya_4s3BIR6ETMC0Y2, 5746193]
[folio, [486.0, 385.0, 372.0, 36.0], 8ikH36nbN2, 5746193]
[folio, [486.0, 421.0, 372.0, 36.0], 8ikH36nbN2, 5746193]
[folio, [184.0, 486.0, 87.0, 36.0], shoonya_2sGTP0LKMED6XG, 5746193]
[contact-info, [494.0, 561.0, 344.0, 36.0], p1rsvyowJm, 5746193]
[sidebar, [188.0, 650.0, 589.0, 36.0], Jh--8blyWw, 5746193]
[paragraph, [180.0, 699.0, 965.0, 36.0], fS_k2ypKOM, 5746193]
[paragraph, [180.0, 735.0, 965.0, 36.0], fS_k2ypKOM, 5746193]
[paragraph, [180.0, 771.0, 965.0, 36.0], fS_k2ypKOM, 5746193]
[paragraph, [180.0, 807.0, 965.0, 36.0], fS_k2ypKOM, 5746193]
[paragraph, [180.0, 843.0, 965.0, 36.0], fS_k2ypKOM, 5746193]
[paragraph, [180.0, 879.0, 965.0, 36.0], fS_k2ypKOM, 5746193]
[paragraph, [180.0, 915.0, 965.0, 36.0], fS_k2ypKOM, 5746193]
[paragraph, [186.0, 970.0, 967.0, 36.0], CMVCp1YJMo, 5746193]
[paragraph, [186.0, 1006.0, 967.0, 36.0], CMVCp1YJMo, 5746193]
[paragraph, [186.0, 1042.0, 967.0, 36.0], CMVCp1YJMo, 5746193]
[paragraph, [186.0, 1078.0, 967.0, 36.0], CMVCp1YJMo, 5746193]
[paragraph, [186.0, 1114.0, 967.0, 36.0], CMVCp1YJMo, 5746193]
[paragraph, [186.0, 1189.0, 978.0, 36.0], bnM5TPHcIP, 5746193]
[paragraph, [186.0, 1225.0, 978.0, 36.0], bnM5TPHcIP, 5746193]
[paragraph, [186.0, 1261.0, 978.0, 36.0], bnM5TPHcIP, 5746193]
[paragraph, [186.0, 1297.0, 978.0, 36.0], bnM5TPHcIP, 5746193]
[paragraph, [184.0, 1348.0, 967.0, 36.0], plkGwU7gMN, 5746193]
[paragraph, [184.0, 1384.0, 967.0, 36.0], plkGwU7gMN, 5746193]
[paragraph, [184.0, 1420.0, 967.0, 36.0], plkGwU7gMN, 5746193]
[paragraph, [184.0, 1456.0, 967.0, 36.0], plkGwU7gMN, 5746193]
[paragraph, [184.0, 1492.0, 967.0, 36.0], plkGwU7gMN, 5746193]
