[818, 612]
[chapter-title, [259.0, 23.0, 70.0, 30.0], g6Su8NT0KW, 6460109]
[paragraph, [82.0, 79.0, 430.0, 18.0], shoonya_2sFHHQ0BDTZLG8, 6460109]
[paragraph, [82.0, 97.0, 430.0, 18.0], shoonya_2sFHHQ0BDTZLG8, 6460109]
[paragraph, [82.0, 115.0, 430.0, 18.0], shoonya_2sFHHQ0BDTZLG8, 6460109]
[paragraph, [83.0, 147.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 165.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 183.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 201.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 219.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 237.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 255.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 273.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 291.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 309.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 327.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 345.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 363.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 381.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 399.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 417.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [83.0, 435.0, 429.0, 18.0], _6OuYef8HT, 6460109]
[paragraph, [124.0, 470.0, 326.0, 18.0], 9ytaoaryaS, 6460109]
[paragraph, [124.0, 488.0, 326.0, 18.0], 9ytaoaryaS, 6460109]
[paragraph, [124.0, 506.0, 326.0, 18.0], 9ytaoaryaS, 6460109]
[paragraph, [80.0, 543.0, 426.0, 18.0], 4Ijsw7602A, 6460109]
[paragraph, [80.0, 561.0, 426.0, 18.0], 4Ijsw7602A, 6460109]
[paragraph, [80.0, 579.0, 426.0, 18.0], 4Ijsw7602A, 6460109]
[paragraph, [80.0, 597.0, 426.0, 18.0], 4Ijsw7602A, 6460109]
[paragraph, [80.0, 615.0, 426.0, 18.0], 4Ijsw7602A, 6460109]
[paragraph, [80.0, 633.0, 426.0, 18.0], 4Ijsw7602A, 6460109]
[paragraph, [81.0, 668.0, 428.0, 18.0], 1yQDwaN_BJ, 6460109]
[paragraph, [81.0, 686.0, 428.0, 18.0], 1yQDwaN_BJ, 6460109]
[paragraph, [81.0, 704.0, 428.0, 18.0], 1yQDwaN_BJ, 6460109]
[paragraph, [81.0, 722.0, 428.0, 18.0], 1yQDwaN_BJ, 6460109]
[paragraph, [81.0, 740.0, 428.0, 18.0], 1yQDwaN_BJ, 6460109]
