[1754, 1241]
[headline, [150.0, 423.0, 450.0, 37.5], shoonya_5sI40S4179UXFX, 6472740]
[headline, [150.0, 460.5, 450.0, 37.5], shoonya_5sI40S4179UXFX, 6472740]
[headline, [150.0, 498.0, 450.0, 37.5], shoonya_5sI40S4179UXFX, 6472740]
[headline, [150.0, 535.5, 450.0, 37.5], shoonya_5sI40S4179UXFX, 6472740]
[quote, [144.0, 595.0, 448.0, 36.0], jNQsCae1kt, 6472740]
[quote, [144.0, 631.0, 448.0, 36.0], jNQsCae1kt, 6472740]
[quote, [144.0, 667.0, 448.0, 36.0], jNQsCae1kt, 6472740]
[figure-caption, [480.0, 820.0, 189.0, 36.0], shoonya_12sKTE367ZM9WW, 6472740]
[paragraph, [114.0, 932.0, 502.0, 36.0], shoonya_6s5B9I3JU4M0O2, 6472740]
[paragraph, [114.0, 968.0, 502.0, 36.0], shoonya_6s5B9I3JU4M0O2, 6472740]
[paragraph, [114.0, 1004.0, 502.0, 36.0], shoonya_6s5B9I3JU4M0O2, 6472740]
[paragraph, [635.0, 959.0, 495.0, 36.0], shoonya_4sQX665A9323XE, 6472740]
[paragraph, [635.0, 995.0, 495.0, 36.0], shoonya_4sQX665A9323XE, 6472740]
[paragraph, [633.0, 1041.0, 498.0, 36.0], shoonya_7s2HCU33ZP40AB, 6472740]
[paragraph, [633.0, 1077.0, 498.0, 36.0], shoonya_7s2HCU33ZP40AB, 6472740]
[paragraph, [633.0, 1113.0, 498.0, 36.0], shoonya_7s2HCU33ZP40AB, 6472740]
[paragraph, [633.0, 1149.0, 498.0, 36.0], shoonya_7s2HCU33ZP40AB, 6472740]
[paragraph, [633.0, 1185.0, 498.0, 36.0], shoonya_7s2HCU33ZP40AB, 6472740]
[paragraph, [112.0, 1068.0, 497.0, 36.0], shoonya_1sF2LU48S7Q1YL, 6472740]
[paragraph, [112.0, 1104.0, 497.0, 36.0], shoonya_1sF2LU48S7Q1YL, 6472740]
[paragraph, [112.0, 1140.0, 497.0, 36.0], shoonya_1sF2LU48S7Q1YL, 6472740]
[paragraph, [112.0, 1176.0, 497.0, 36.0], shoonya_1sF2LU48S7Q1YL, 6472740]
[paragraph, [112.0, 1212.0, 497.0, 36.0], shoonya_1sF2LU48S7Q1YL, 6472740]
[paragraph, [633.0, 1232.0, 497.0, 36.0], shoonya_11sBQS7LOSDB40, 6472740]
[paragraph, [633.0, 1268.0, 497.0, 36.0], shoonya_11sBQS7LOSDB40, 6472740]
[paragraph, [633.0, 1304.0, 497.0, 36.0], shoonya_11sBQS7LOSDB40, 6472740]
[paragraph, [633.0, 1340.0, 497.0, 36.0], shoonya_11sBQS7LOSDB40, 6472740]
[paragraph, [633.0, 1376.0, 497.0, 36.0], shoonya_11sBQS7LOSDB40, 6472740]
[paragraph, [633.0, 1412.0, 497.0, 36.0], shoonya_11sBQS7LOSDB40, 6472740]
[paragraph, [111.0, 1258.0, 499.0, 36.0], shoonya_0s718TW16FE78O, 6472740]
[paragraph, [111.0, 1294.0, 499.0, 36.0], shoonya_0s718TW16FE78O, 6472740]
[paragraph, [111.0, 1330.0, 499.0, 36.0], shoonya_0s718TW16FE78O, 6472740]
[paragraph, [111.0, 1366.0, 499.0, 36.0], shoonya_0s718TW16FE78O, 6472740]
[paragraph, [111.0, 1402.0, 499.0, 36.0], shoonya_0s718TW16FE78O, 6472740]
[paragraph, [110.0, 1448.0, 504.0, 36.0], shoonya_3s0COMGGOKTT2K, 6472740]
[paragraph, [110.0, 1484.0, 504.0, 36.0], shoonya_3s0COMGGOKTT2K, 6472740]
[paragraph, [110.0, 1520.0, 504.0, 36.0], shoonya_3s0COMGGOKTT2K, 6472740]
[paragraph, [631.0, 1475.0, 499.0, 36.0], shoonya_2sM8ZEO1DYYVL5, 6472740]
[paragraph, [631.0, 1511.0, 499.0, 36.0], shoonya_2sM8ZEO1DYYVL5, 6472740]
[paragraph, [631.0, 1547.0, 499.0, 36.0], shoonya_2sM8ZEO1DYYVL5, 6472740]
