[842, 596]
[folio, [55.0, 28.0, 93.0, 18.0], qy11Hl97HN, 6464664]
[website-link, [387.0, 30.0, 150.0, 18.0], M3JcuahbIF, 6464664]
[paragraph, [121.0, 69.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 87.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 105.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 123.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 141.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 159.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 177.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 195.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 213.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 231.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 249.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 267.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 285.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 303.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 321.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 339.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 357.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 375.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 393.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 411.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 429.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 447.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 465.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 483.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 501.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 519.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 537.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 555.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 573.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 591.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 609.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 627.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 645.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 663.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[paragraph, [121.0, 681.0, 317.0, 18.0], shoonya_2s2ZXMXR3U1M4T, 6464664]
[folio, [64.0, 735.0, 64.0, 18.0], shoonya_0sUQUJQRFJKIEG, 6464664]
[folio, [64.0, 753.0, 64.0, 18.0], shoonya_0sUQUJQRFJKIEG, 6464664]
