[614, 424]
[section-title, [174.0, 80.0, 78.0, 30.0], shoonya_0sXFZVJOIXAVPM, 6533670]
[paragraph, [53.0, 115.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 133.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 151.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 169.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 187.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 205.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 223.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 241.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 259.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 277.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [53.0, 295.0, 333.0, 18.0], mLzC5iI-R4, 6533670]
[paragraph, [54.0, 331.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[paragraph, [54.0, 349.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[paragraph, [54.0, 367.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[paragraph, [54.0, 385.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[paragraph, [54.0, 403.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[paragraph, [54.0, 421.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[paragraph, [54.0, 439.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[paragraph, [54.0, 457.0, 330.0, 18.0], c65Nd8Unvy, 6533670]
[footnote, [53.0, 502.0, 249.0, 18.0], 36NTtmam2A, 6533670]
