[1754, 1241]
[folio, [55.0, 86.0, 157.0, 36.0], shoonya_9sO3CYCBGZF1RP, 6472370]
[paragraph, [634.0, 132.0, 539.0, 36.0], shoonya_11sUE7G3SM8HVU, 6472370]
[paragraph, [634.0, 168.0, 539.0, 36.0], shoonya_11sUE7G3SM8HVU, 6472370]
[paragraph, [634.0, 204.0, 539.0, 36.0], shoonya_11sUE7G3SM8HVU, 6472370]
[paragraph, [634.0, 240.0, 539.0, 36.0], shoonya_11sUE7G3SM8HVU, 6472370]
[paragraph, [634.0, 276.0, 539.0, 36.0], shoonya_11sUE7G3SM8HVU, 6472370]
[paragraph, [64.0, 133.0, 540.0, 36.0], shoonya_6s4AJUN1DNJ15K, 6472370]
[paragraph, [64.0, 169.0, 540.0, 36.0], shoonya_6s4AJUN1DNJ15K, 6472370]
[paragraph, [64.0, 205.0, 540.0, 36.0], shoonya_6s4AJUN1DNJ15K, 6472370]
[paragraph, [65.0, 268.0, 544.0, 36.0], shoonya_0sSTOZDZBSTOJ6, 6472370]
[paragraph, [65.0, 304.0, 544.0, 36.0], shoonya_0sSTOZDZBSTOJ6, 6472370]
[paragraph, [625.0, 354.0, 549.0, 36.0], shoonya_4sGZQGIH2MRDHE, 6472370]
[paragraph, [625.0, 390.0, 549.0, 36.0], shoonya_4sGZQGIH2MRDHE, 6472370]
[paragraph, [625.0, 426.0, 549.0, 36.0], shoonya_4sGZQGIH2MRDHE, 6472370]
[paragraph, [625.0, 462.0, 549.0, 36.0], shoonya_4sGZQGIH2MRDHE, 6472370]
[paragraph, [625.0, 498.0, 549.0, 36.0], shoonya_4sGZQGIH2MRDHE, 6472370]
[paragraph, [625.0, 534.0, 549.0, 36.0], shoonya_4sGZQGIH2MRDHE, 6472370]
[paragraph, [634.0, 632.0, 541.0, 36.0], shoonya_7sPD7TCZAZT1RO, 6472370]
[paragraph, [634.0, 668.0, 541.0, 36.0], shoonya_7sPD7TCZAZT1RO, 6472370]
[paragraph, [634.0, 704.0, 541.0, 36.0], shoonya_7sPD7TCZAZT1RO, 6472370]
[paragraph, [635.0, 816.0, 537.0, 36.0], 68DNb-a_fD, 6472370]
[paragraph, [635.0, 852.0, 537.0, 36.0], 68DNb-a_fD, 6472370]
[paragraph, [635.0, 888.0, 537.0, 36.0], 68DNb-a_fD, 6472370]
[paragraph, [635.0, 924.0, 537.0, 36.0], 68DNb-a_fD, 6472370]
[paragraph, [635.0, 960.0, 537.0, 36.0], 68DNb-a_fD, 6472370]
[paragraph, [635.0, 996.0, 537.0, 36.0], 68DNb-a_fD, 6472370]
[paragraph, [58.0, 864.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [58.0, 900.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [58.0, 936.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [58.0, 972.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [58.0, 1008.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [58.0, 1044.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [58.0, 1080.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [58.0, 1116.0, 553.0, 36.0], shoonya_1sUXF14W3SI40Y, 6472370]
[paragraph, [629.0, 1076.0, 545.0, 36.0], 1kqF2a2Rgr, 6472370]
[paragraph, [629.0, 1112.0, 545.0, 36.0], 1kqF2a2Rgr, 6472370]
[paragraph, [629.0, 1148.0, 545.0, 36.0], 1kqF2a2Rgr, 6472370]
[paragraph, [629.0, 1184.0, 545.0, 36.0], 1kqF2a2Rgr, 6472370]
[paragraph, [629.0, 1220.0, 545.0, 36.0], 1kqF2a2Rgr, 6472370]
[paragraph, [68.0, 1249.0, 543.0, 36.0], shoonya_3sXS34CWG2NPVZ, 6472370]
[paragraph, [68.0, 1285.0, 543.0, 36.0], shoonya_3sXS34CWG2NPVZ, 6472370]
[paragraph, [68.0, 1321.0, 543.0, 36.0], shoonya_3sXS34CWG2NPVZ, 6472370]
[paragraph, [68.0, 1357.0, 543.0, 36.0], shoonya_3sXS34CWG2NPVZ, 6472370]
[paragraph, [68.0, 1393.0, 543.0, 36.0], shoonya_3sXS34CWG2NPVZ, 6472370]
[paragraph, [622.0, 1309.0, 559.0, 36.0], gNm4MtOFJD, 6472370]
[paragraph, [622.0, 1345.0, 559.0, 36.0], gNm4MtOFJD, 6472370]
[paragraph, [622.0, 1381.0, 559.0, 36.0], gNm4MtOFJD, 6472370]
[paragraph, [622.0, 1417.0, 559.0, 36.0], gNm4MtOFJD, 6472370]
[paragraph, [622.0, 1453.0, 559.0, 36.0], gNm4MtOFJD, 6472370]
[paragraph, [622.0, 1489.0, 559.0, 36.0], gNm4MtOFJD, 6472370]
[paragraph, [622.0, 1525.0, 559.0, 36.0], gNm4MtOFJD, 6472370]
[paragraph, [61.0, 1473.0, 545.0, 36.0], shoonya_8s9OW9U32X1R49, 6472370]
[paragraph, [61.0, 1509.0, 545.0, 36.0], shoonya_8s9OW9U32X1R49, 6472370]
[paragraph, [61.0, 1545.0, 545.0, 36.0], shoonya_8s9OW9U32X1R49, 6472370]
