[1220, 755]
[paragraph, [52.0, 70.0, 629.0, 18.0], shoonya_3sLJXYAHKWOLF9, 6469804]
[paragraph, [52.0, 88.0, 629.0, 18.0], shoonya_3sLJXYAHKWOLF9, 6469804]
[paragraph, [52.0, 106.0, 629.0, 18.0], shoonya_3sLJXYAHKWOLF9, 6469804]
[paragraph, [52.0, 138.0, 629.0, 18.0], shoonya_6sY26JJCAM1DLZ, 6469804]
[paragraph, [52.0, 156.0, 629.0, 18.0], shoonya_6sY26JJCAM1DLZ, 6469804]
[paragraph, [52.0, 174.0, 629.0, 18.0], shoonya_6sY26JJCAM1DLZ, 6469804]
[paragraph, [52.0, 192.0, 629.0, 18.0], shoonya_6sY26JJCAM1DLZ, 6469804]
[paragraph, [52.0, 210.0, 629.0, 18.0], shoonya_6sY26JJCAM1DLZ, 6469804]
[paragraph, [50.0, 237.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 255.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 273.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 291.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 309.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 327.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 345.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 363.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 381.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 399.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 417.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 435.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 453.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 471.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 489.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 507.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 525.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 543.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 561.0, 632.0, 18.0], shoonya_0sOLB3JMJCZ4DC, 6469804]
[paragraph, [50.0, 596.0, 632.0, 18.0], FZwEZhOngU, 6469804]
[paragraph, [50.0, 614.0, 632.0, 18.0], FZwEZhOngU, 6469804]
[paragraph, [50.0, 632.0, 632.0, 18.0], FZwEZhOngU, 6469804]
[paragraph, [50.0, 663.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 681.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 699.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 717.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 735.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 753.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 771.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 789.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 807.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 825.0, 630.0, 18.0], 8vUvMeYjGS, 6469804]
[paragraph, [50.0, 846.0, 630.0, 18.0], Hnq6_jbU3X, 6469804]
[paragraph, [50.0, 864.0, 630.0, 18.0], Hnq6_jbU3X, 6469804]
[paragraph, [50.0, 882.0, 630.0, 18.0], Hnq6_jbU3X, 6469804]
[paragraph, [50.0, 900.0, 630.0, 18.0], Hnq6_jbU3X, 6469804]
[paragraph, [50.0, 918.0, 630.0, 18.0], Hnq6_jbU3X, 6469804]
[paragraph, [52.0, 943.0, 627.0, 18.0], OA_ONmpcLa, 6469804]
[paragraph, [52.0, 961.0, 627.0, 18.0], OA_ONmpcLa, 6469804]
[paragraph, [52.0, 979.0, 627.0, 18.0], OA_ONmpcLa, 6469804]
[paragraph, [53.0, 1012.0, 628.0, 18.0], 6VCMpgWXwF, 6469804]
[paragraph, [53.0, 1030.0, 628.0, 18.0], 6VCMpgWXwF, 6469804]
[paragraph, [53.0, 1048.0, 628.0, 18.0], 6VCMpgWXwF, 6469804]
[paragraph, [53.0, 1066.0, 628.0, 18.0], 6VCMpgWXwF, 6469804]
[paragraph, [53.0, 1084.0, 628.0, 18.0], 6VCMpgWXwF, 6469804]
