[3509, 2482]
[folio, [851.0, 215.0, 497.0, 52.5], WYSzntaUGb, 5692317]
[folio, [851.0, 267.5, 497.0, 52.5], WYSzntaUGb, 5692317]
[paragraph, [181.0, 356.0, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 408.5, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 461.0, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 513.5, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 566.0, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 618.5, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 671.0, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 723.5, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 776.0, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 828.5, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [181.0, 881.0, 1833.0, 52.5], shoonya_0sUQ4YAJ8ZH4QK, 5692317]
[paragraph, [175.0, 935.0, 1834.0, 52.5], Ho0VZKrud0, 5692317]
[paragraph, [175.0, 987.5, 1834.0, 52.5], Ho0VZKrud0, 5692317]
[paragraph, [175.0, 1040.0, 1834.0, 52.5], Ho0VZKrud0, 5692317]
[paragraph, [175.0, 1092.5, 1834.0, 52.5], Ho0VZKrud0, 5692317]
[paragraph, [297.0, 1186.0, 500.0, 52.5], NWt8D-iJ5O, 5692317]
[paragraph, [303.0, 1267.0, 272.0, 52.5], vLpMesmoXR, 5692317]
[paragraph, [306.0, 1352.0, 272.0, 52.5], _7-5__tvsl, 5692317]
[paragraph, [303.0, 1430.0, 544.0, 52.5], uc9N7BdLC5, 5692317]
[paragraph, [306.0, 1511.0, 666.0, 52.5], uX1mBmtAwt, 5692317]
[paragraph, [309.0, 1593.0, 666.0, 52.5], qoSeBC1mFM, 5692317]
[paragraph, [294.0, 1671.0, 1380.0, 52.5], iAr1lw_gTY, 5692317]
[paragraph, [300.0, 1756.0, 222.0, 52.5], 6hnt6EaIkW, 5692317]
[paragraph, [303.0, 1831.0, 748.0, 52.5], m1ET-J-0GI, 5692317]
[paragraph, [306.0, 1915.0, 694.0, 52.5], VyS5uIotzB, 5692317]
[paragraph, [309.0, 2003.0, 507.0, 52.5], CXcculKlsW, 5692317]
[paragraph, [306.0, 2084.0, 497.0, 52.5], VHK2XloGCK, 5692317]
[paragraph, [300.0, 2162.0, 1261.0, 52.5], nlnV79aBvv, 5692317]
[paragraph, [187.0, 2247.0, 1809.0, 52.5], NNKSp4XCUw, 5692317]
[paragraph, [187.0, 2299.5, 1809.0, 52.5], NNKSp4XCUw, 5692317]
[paragraph, [187.0, 2352.0, 1809.0, 52.5], NNKSp4XCUw, 5692317]
[paragraph, [187.0, 2404.5, 1809.0, 52.5], NNKSp4XCUw, 5692317]
[paragraph, [187.0, 2457.0, 1809.0, 52.5], NNKSp4XCUw, 5692317]
[paragraph, [187.0, 2509.5, 1809.0, 52.5], NNKSp4XCUw, 5692317]
[section-title, [995.0, 2717.0, 200.0, 93.0], IAbmaGZ3J4, 5692317]
[paragraph, [185.0, 2873.0, 1822.0, 52.5], shoonya_1sO2H64HN1PVMM, 5692317]
[paragraph, [177.0, 2963.0, 1925.0, 52.5], XIBRV_gEKJ, 5692317]
[paragraph, [177.0, 3015.5, 1925.0, 52.5], XIBRV_gEKJ, 5692317]
[paragraph, [177.0, 3068.0, 1925.0, 52.5], XIBRV_gEKJ, 5692317]
[paragraph, [177.0, 3120.5, 1925.0, 52.5], XIBRV_gEKJ, 5692317]
[paragraph, [177.0, 3173.0, 1925.0, 52.5], XIBRV_gEKJ, 5692317]
[paragraph, [177.0, 3225.5, 1925.0, 52.5], XIBRV_gEKJ, 5692317]
[paragraph, [177.0, 3278.0, 1925.0, 52.5], XIBRV_gEKJ, 5692317]
