[2339, 1653]
[paragraph, [325.0, 162.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 198.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 234.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 270.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 306.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 342.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 378.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 414.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 450.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 486.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 522.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 558.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 594.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 630.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 666.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 702.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 738.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 774.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 810.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 846.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 882.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 918.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 954.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 990.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 1026.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [325.0, 1062.0, 1143.0, 36.0], shoonya_1sQAKJALF5TL2D, 5733846]
[paragraph, [324.0, 1111.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1147.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1183.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1219.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1255.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1291.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1327.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1363.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1399.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1435.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1471.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1507.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1543.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
[paragraph, [324.0, 1579.0, 1136.0, 36.0], shoonya_0sSDLX67C0ZOQE, 5733846]
