[1037, 698]
[paragraph, [64.0, 119.0, 582.0, 18.0], tjNrXeAGls, 5772766]
[paragraph, [64.0, 137.0, 582.0, 18.0], tjNrXeAGls, 5772766]
[paragraph, [64.0, 155.0, 582.0, 18.0], tjNrXeAGls, 5772766]
[paragraph, [64.0, 173.0, 582.0, 18.0], tjNrXeAGls, 5772766]
[paragraph, [167.0, 197.0, 377.0, 18.0], cghRj-qcA_, 5772766]
[paragraph, [167.0, 215.0, 377.0, 18.0], cghRj-qcA_, 5772766]
[paragraph, [167.0, 233.0, 377.0, 18.0], cghRj-qcA_, 5772766]
[paragraph, [66.0, 266.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 284.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 302.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 320.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 338.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 356.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 374.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 392.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 410.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [66.0, 428.0, 563.0, 18.0], ZaDNY3XOL0, 5772766]
[paragraph, [167.0, 455.0, 360.0, 18.0], 4iBIkN3ob6, 5772766]
[paragraph, [167.0, 473.0, 360.0, 18.0], 4iBIkN3ob6, 5772766]
[paragraph, [167.0, 491.0, 360.0, 18.0], 4iBIkN3ob6, 5772766]
[paragraph, [66.0, 528.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 546.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 564.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 582.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 600.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 618.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 636.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 654.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 672.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 690.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [66.0, 708.0, 557.0, 18.0], jAxOLVlqS6, 5772766]
[paragraph, [131.0, 742.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [131.0, 760.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [131.0, 778.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [131.0, 796.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [131.0, 814.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [131.0, 832.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [131.0, 850.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [131.0, 868.0, 400.0, 18.0], 5swJUTlo8_, 5772766]
[paragraph, [67.0, 891.0, 557.0, 18.0], 9564VN3k5u, 5772766]
[paragraph, [67.0, 909.0, 557.0, 18.0], 9564VN3k5u, 5772766]
[paragraph, [67.0, 927.0, 557.0, 18.0], 9564VN3k5u, 5772766]
[paragraph, [67.0, 945.0, 557.0, 18.0], 9564VN3k5u, 5772766]
