[842, 595]
[headline, [247.0, 111.0, 109.0, 25.5], shoonya_0sJ13YB0WC0K7Y, 5689289]
[folio, [265.0, 203.0, 79.0, 18.0], zPAgwUI4Ti, 5689289]
[paragraph, [69.0, 241.0, 469.0, 18.0], TZv6cO6tM0, 5689289]
[paragraph, [69.0, 259.0, 469.0, 18.0], TZv6cO6tM0, 5689289]
[unordered-list, [58.0, 290.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 308.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 326.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 344.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 362.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 380.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 398.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 416.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 434.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 452.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 470.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 488.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 506.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 524.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[unordered-list, [58.0, 542.0, 486.0, 18.0], s1gtx7biaI, 5689289]
[sidebar, [509.0, 360.0, 32.0, 18.0], 6vPDUzP3V_, 5689289]
[reference, [80.0, 607.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 625.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 643.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 661.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 679.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 697.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 715.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 733.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [80.0, 751.0, 293.0, 18.0], D2sdy4Z7fu, 5689289]
[reference, [92.0, 781.0, 166.0, 18.0], C_R-AKiW2V, 5689289]
