[2000, 1414]
[headline, [303.0, 151.0, 815.0, 67.5], hvRVbz6_yO, 6533623]
[flag, [321.0, 301.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 337.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 373.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 409.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 445.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 481.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 517.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 553.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 589.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 625.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 661.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[flag, [321.0, 697.0, 835.0, 36.0], rLCgy1acDN, 6533623]
[author, [576.0, 1465.0, 268.0, 36.0], _KiwqIive8, 6533623]
[author, [576.0, 1501.0, 268.0, 36.0], _KiwqIive8, 6533623]
[paragraph, [329.0, 1597.0, 776.0, 36.0], bsNxqswgHV, 6533623]
[paragraph, [329.0, 1633.0, 776.0, 36.0], bsNxqswgHV, 6533623]
