[2200, 1700]
[paragraph, [373.0, 113.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 149.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 185.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 221.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 257.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 293.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 329.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 365.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 401.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 437.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 473.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 509.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 545.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 581.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 617.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 653.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 689.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 725.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 761.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 797.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 833.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 869.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 905.0, 1133.0, 36.0], shoonya_0sH9Z2L2B261SK, 5734582]
[paragraph, [373.0, 964.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1000.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1036.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1072.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1108.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1144.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1180.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1216.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1252.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1288.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1324.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1360.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1396.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1432.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1468.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1504.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1540.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1576.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1612.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1648.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [373.0, 1684.0, 1133.0, 36.0], shoonya_1s94E3PKNWPC4Y, 5734582]
[paragraph, [369.0, 1769.0, 1137.0, 36.0], shoonya_2sI9ZR00Q4LV0S, 5734582]
[paragraph, [369.0, 1805.0, 1137.0, 36.0], shoonya_2sI9ZR00Q4LV0S, 5734582]
[paragraph, [369.0, 1841.0, 1137.0, 36.0], shoonya_2sI9ZR00Q4LV0S, 5734582]
[paragraph, [369.0, 1877.0, 1137.0, 36.0], shoonya_2sI9ZR00Q4LV0S, 5734582]
[paragraph, [369.0, 1913.0, 1137.0, 36.0], shoonya_2sI9ZR00Q4LV0S, 5734582]
[paragraph, [369.0, 1949.0, 1137.0, 36.0], shoonya_2sI9ZR00Q4LV0S, 5734582]
[paragraph, [369.0, 1985.0, 1137.0, 36.0], shoonya_2sI9ZR00Q4LV0S, 5734582]
