[1755, 1241]
[folio, [679.0, 96.0, 349.0, 36.0], HJP46Tpf4w, 5760239]
[paragraph, [307.0, 161.0, 518.0, 36.0], shoonya_1sSSS09Y6SNG4A, 5760239]
[paragraph, [307.0, 197.0, 518.0, 36.0], shoonya_1sSSS09Y6SNG4A, 5760239]
[paragraph, [307.0, 233.0, 518.0, 36.0], shoonya_1sSSS09Y6SNG4A, 5760239]
[paragraph, [235.0, 273.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 309.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 345.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 381.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 417.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 453.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 489.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 525.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 561.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 597.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 633.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 669.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 705.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [235.0, 741.0, 801.0, 36.0], ZAPoiudcj1, 5760239]
[paragraph, [238.0, 786.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 822.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 858.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 894.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 930.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 966.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 1002.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 1038.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [238.0, 1074.0, 801.0, 36.0], ZDMZGx2pwt, 5760239]
[paragraph, [243.0, 1123.0, 800.0, 36.0], bVK_wmY7Ix, 5760239]
[paragraph, [243.0, 1159.0, 800.0, 36.0], bVK_wmY7Ix, 5760239]
[paragraph, [243.0, 1195.0, 800.0, 36.0], bVK_wmY7Ix, 5760239]
[paragraph, [243.0, 1231.0, 800.0, 36.0], bVK_wmY7Ix, 5760239]
[paragraph, [243.0, 1267.0, 800.0, 36.0], bVK_wmY7Ix, 5760239]
[paragraph, [243.0, 1303.0, 800.0, 36.0], bVK_wmY7Ix, 5760239]
[paragraph, [243.0, 1339.0, 800.0, 36.0], bVK_wmY7Ix, 5760239]
[paragraph, [243.0, 1391.0, 800.0, 36.0], 4YfOExVHoU, 5760239]
[paragraph, [243.0, 1427.0, 800.0, 36.0], 4YfOExVHoU, 5760239]
[paragraph, [243.0, 1463.0, 800.0, 36.0], 4YfOExVHoU, 5760239]
[paragraph, [243.0, 1499.0, 800.0, 36.0], 4YfOExVHoU, 5760239]
[paragraph, [243.0, 1535.0, 800.0, 36.0], 4YfOExVHoU, 5760239]
[paragraph, [243.0, 1571.0, 800.0, 36.0], 4YfOExVHoU, 5760239]
[paragraph, [243.0, 1607.0, 800.0, 36.0], 4YfOExVHoU, 5760239]
