[1162, 749]
[folio, [339.0, 76.0, 86.0, 18.0], shoonya_4s5KGZHKWLD6QS, 5699810]
[paragraph, [79.0, 120.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 138.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 156.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 174.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 192.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 210.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 228.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 246.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 264.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 282.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 300.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 318.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [79.0, 336.0, 597.0, 18.0], shoonya_1sV4AMF1LGGX1H, 5699810]
[paragraph, [81.0, 365.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 383.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 401.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 419.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 437.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 455.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 473.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 491.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 509.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 527.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 545.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 563.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 581.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 599.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 617.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 635.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 653.0, 595.0, 18.0], shoonya_0sCKF79K68Z5MH, 5699810]
[paragraph, [81.0, 679.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 697.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 715.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 733.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 751.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 769.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 787.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 805.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 823.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 841.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [81.0, 859.0, 599.0, 18.0], shoonya_2sM927S2PC027D, 5699810]
[paragraph, [82.0, 885.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 903.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 921.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 939.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 957.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 975.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 993.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 1011.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 1029.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 1047.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
[paragraph, [82.0, 1065.0, 598.0, 18.0], shoonya_3sGGS5YFJ4B0WM, 5699810]
