[1300, 827]
[section-title, [68.0, 73.0, 102.0, 30.0], Vn6jA-3qm4, 6471611]
[headline, [264.0, 129.0, 149.0, 25.5], shoonya_3sAIZ6P4YA17JH, 6471611]
[headline, [264.0, 154.5, 149.0, 25.5], shoonya_3sAIZ6P4YA17JH, 6471611]
[author, [460.0, 190.0, 116.0, 18.0], YH6OwuoIim, 6471611]
[contact-info, [423.0, 220.0, 152.0, 18.0], ArRX5HGnIh, 6471611]
[contact-info, [423.0, 238.0, 152.0, 18.0], ArRX5HGnIh, 6471611]
[paragraph, [62.0, 285.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 303.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 321.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 339.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 357.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 375.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 393.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 411.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 429.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 447.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 465.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 483.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 501.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 519.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 537.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 555.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 573.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 591.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [62.0, 609.0, 701.0, 18.0], shoonya_0sH1J3YISD4Y33, 6471611]
[paragraph, [60.0, 629.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [60.0, 647.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [60.0, 665.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [60.0, 683.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [60.0, 701.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [60.0, 719.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [60.0, 737.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [60.0, 755.0, 702.0, 18.0], h_Weh27gDr, 6471611]
[paragraph, [62.0, 785.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [62.0, 803.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [62.0, 821.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [62.0, 839.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [62.0, 857.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [62.0, 875.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [62.0, 893.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [62.0, 911.0, 700.0, 18.0], dG_JVVOCcK, 6471611]
[paragraph, [60.0, 940.0, 702.0, 18.0], G6E8zdS6il, 6471611]
[paragraph, [60.0, 958.0, 702.0, 18.0], G6E8zdS6il, 6471611]
[paragraph, [60.0, 976.0, 702.0, 18.0], G6E8zdS6il, 6471611]
[paragraph, [60.0, 994.0, 702.0, 18.0], G6E8zdS6il, 6471611]
[paragraph, [60.0, 1012.0, 702.0, 18.0], G6E8zdS6il, 6471611]
[paragraph, [59.0, 1036.0, 707.0, 18.0], U3Af_ewhFR, 6471611]
[paragraph, [59.0, 1054.0, 707.0, 18.0], U3Af_ewhFR, 6471611]
[paragraph, [59.0, 1072.0, 707.0, 18.0], U3Af_ewhFR, 6471611]
[paragraph, [59.0, 1090.0, 707.0, 18.0], U3Af_ewhFR, 6471611]
[paragraph, [59.0, 1108.0, 707.0, 18.0], U3Af_ewhFR, 6471611]
[paragraph, [59.0, 1126.0, 707.0, 18.0], U3Af_ewhFR, 6471611]
[paragraph, [59.0, 1144.0, 707.0, 18.0], U3Af_ewhFR, 6471611]
[folio, [129.0, 1218.0, 67.0, 18.0], M6A4hyked8, 6471611]
