[1152, 739]
[section-title, [337.0, 254.0, 52.0, 30.0], mQreFxNfAr, 5741286]
[paragraph, [83.0, 300.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 318.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 336.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 354.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 372.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 390.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 408.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 426.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 444.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [83.0, 462.0, 554.0, 18.0], hFnUboB7Nr, 5741286]
[paragraph, [90.0, 485.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 503.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 521.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 539.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 557.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 575.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 593.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 611.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 629.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 647.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 665.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 683.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [90.0, 701.0, 547.0, 18.0], QCitHOJhzQ, 5741286]
[paragraph, [96.0, 729.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 747.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 765.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 783.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 801.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 819.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 837.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 855.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 873.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 891.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 909.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 927.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 945.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 963.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[paragraph, [96.0, 981.0, 545.0, 18.0], shoonya_0sAGG594C9I4TM, 5741286]
[footnote, [424.0, 1113.0, 259.0, 18.0], JEHY-rvRGK, 5741286]
