[1500, 1050]
[folio, [192.0, 81.0, 201.0, 36.0], shoonya_0sAKLT2ZPHS2G5, 5760267]
[paragraph, [188.0, 136.0, 679.0, 36.0], QHQbrNz9gR, 5760267]
[paragraph, [188.0, 172.0, 679.0, 36.0], QHQbrNz9gR, 5760267]
[paragraph, [188.0, 208.0, 679.0, 36.0], QHQbrNz9gR, 5760267]
[paragraph, [188.0, 244.0, 679.0, 36.0], QHQbrNz9gR, 5760267]
[paragraph, [188.0, 280.0, 679.0, 36.0], QHQbrNz9gR, 5760267]
[paragraph, [185.0, 337.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 373.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 409.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 445.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 481.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 517.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 553.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 589.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 625.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 661.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [185.0, 697.0, 683.0, 36.0], gQLjTorD2y, 5760267]
[paragraph, [183.0, 765.0, 681.0, 36.0], WIzj15Jshm, 5760267]
[paragraph, [183.0, 801.0, 681.0, 36.0], WIzj15Jshm, 5760267]
[paragraph, [183.0, 837.0, 681.0, 36.0], WIzj15Jshm, 5760267]
[paragraph, [183.0, 873.0, 681.0, 36.0], WIzj15Jshm, 5760267]
[paragraph, [183.0, 909.0, 681.0, 36.0], WIzj15Jshm, 5760267]
[paragraph, [179.0, 963.0, 682.0, 36.0], vorupAkZAE, 5760267]
[paragraph, [179.0, 999.0, 682.0, 36.0], vorupAkZAE, 5760267]
[paragraph, [179.0, 1035.0, 682.0, 36.0], vorupAkZAE, 5760267]
[paragraph, [179.0, 1071.0, 682.0, 36.0], vorupAkZAE, 5760267]
[paragraph, [179.0, 1107.0, 682.0, 36.0], vorupAkZAE, 5760267]
[paragraph, [179.0, 1167.0, 679.0, 36.0], 6PftvFtp0e, 5760267]
[paragraph, [179.0, 1203.0, 679.0, 36.0], 6PftvFtp0e, 5760267]
[paragraph, [179.0, 1239.0, 679.0, 36.0], 6PftvFtp0e, 5760267]
[paragraph, [179.0, 1275.0, 679.0, 36.0], 6PftvFtp0e, 5760267]
[paragraph, [179.0, 1311.0, 679.0, 36.0], 6PftvFtp0e, 5760267]
