[515, 727]
[paragraph, [98.0, 59.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 77.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 95.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 113.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 131.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 149.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 167.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 185.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 203.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 221.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 239.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 257.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 275.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 293.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 311.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 329.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 347.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 365.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 383.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 401.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [98.0, 419.0, 263.0, 18.0], shoonya_1sYB6239FG2TZR, 6533163]
[paragraph, [425.0, 61.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 79.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 97.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 115.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 133.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 151.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 169.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 187.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 205.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 223.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 241.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 259.0, 261.0, 18.0], shoonya_0sFV6BXAEDD63G, 6533163]
[paragraph, [425.0, 288.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 306.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 324.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 342.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 360.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 378.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 396.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 414.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 432.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [425.0, 450.0, 261.0, 18.0], 0qiZoThxUV, 6533163]
[paragraph, [102.0, 452.0, 265.0, 18.0], 8dVoP-H-vS, 6533163]
[paragraph, [102.0, 470.0, 265.0, 18.0], 8dVoP-H-vS, 6533163]
