[681, 497]
[paragraph, [29.0, 30.0, 214.0, 18.0], shoonya_6sL0DULSMRS6YZ, 5713349]
[paragraph, [29.0, 48.0, 214.0, 18.0], shoonya_6sL0DULSMRS6YZ, 5713349]
[paragraph, [29.0, 66.0, 214.0, 18.0], shoonya_6sL0DULSMRS6YZ, 5713349]
[paragraph, [29.0, 84.0, 214.0, 18.0], shoonya_6sL0DULSMRS6YZ, 5713349]
[paragraph, [29.0, 102.0, 214.0, 18.0], shoonya_6sL0DULSMRS6YZ, 5713349]
[paragraph, [29.0, 120.0, 214.0, 18.0], shoonya_6sL0DULSMRS6YZ, 5713349]
[paragraph, [29.0, 138.0, 214.0, 18.0], shoonya_6sL0DULSMRS6YZ, 5713349]
[paragraph, [31.0, 195.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [31.0, 213.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [31.0, 231.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [31.0, 249.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [31.0, 267.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [31.0, 285.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [31.0, 303.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [31.0, 321.0, 212.0, 18.0], shoonya_4sTJ4T3B4HGECA, 5713349]
[paragraph, [254.0, 295.0, 211.0, 18.0], shoonya_5s1POFCFC59N8P, 5713349]
[paragraph, [254.0, 313.0, 211.0, 18.0], shoonya_5s1POFCFC59N8P, 5713349]
[paragraph, [254.0, 331.0, 211.0, 18.0], shoonya_5s1POFCFC59N8P, 5713349]
[paragraph, [254.0, 349.0, 211.0, 18.0], shoonya_5s1POFCFC59N8P, 5713349]
[paragraph, [254.0, 367.0, 211.0, 18.0], shoonya_5s1POFCFC59N8P, 5713349]
[paragraph, [254.0, 385.0, 211.0, 18.0], shoonya_5s1POFCFC59N8P, 5713349]
[paragraph, [254.0, 403.0, 211.0, 18.0], shoonya_5s1POFCFC59N8P, 5713349]
[paragraph, [30.0, 355.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 373.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 391.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 409.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 427.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 445.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 463.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 481.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [30.0, 499.0, 213.0, 18.0], shoonya_1sD83H2LB1OP7A, 5713349]
[paragraph, [251.0, 453.0, 213.0, 18.0], shoonya_3sAF93QXWC5GFC, 5713349]
[paragraph, [251.0, 471.0, 213.0, 18.0], shoonya_3sAF93QXWC5GFC, 5713349]
[paragraph, [251.0, 489.0, 213.0, 18.0], shoonya_3sAF93QXWC5GFC, 5713349]
[paragraph, [251.0, 507.0, 213.0, 18.0], shoonya_3sAF93QXWC5GFC, 5713349]
[paragraph, [251.0, 525.0, 213.0, 18.0], shoonya_3sAF93QXWC5GFC, 5713349]
[paragraph, [31.0, 528.0, 213.0, 18.0], shoonya_2sNLO8XE4AH6UY, 5713349]
[paragraph, [31.0, 546.0, 213.0, 18.0], shoonya_2sNLO8XE4AH6UY, 5713349]
[paragraph, [31.0, 564.0, 213.0, 18.0], shoonya_2sNLO8XE4AH6UY, 5713349]
[paragraph, [31.0, 582.0, 213.0, 18.0], shoonya_2sNLO8XE4AH6UY, 5713349]
[paragraph, [31.0, 600.0, 213.0, 18.0], shoonya_2sNLO8XE4AH6UY, 5713349]
[paragraph, [31.0, 618.0, 213.0, 18.0], shoonya_2sNLO8XE4AH6UY, 5713349]
[paragraph, [254.0, 559.0, 211.0, 18.0], shoonya_7sYL1ZP63DM9RN, 5713349]
[paragraph, [254.0, 577.0, 211.0, 18.0], shoonya_7sYL1ZP63DM9RN, 5713349]
[paragraph, [254.0, 595.0, 211.0, 18.0], shoonya_7sYL1ZP63DM9RN, 5713349]
[paragraph, [254.0, 613.0, 211.0, 18.0], shoonya_7sYL1ZP63DM9RN, 5713349]
[paragraph, [254.0, 631.0, 211.0, 18.0], shoonya_7sYL1ZP63DM9RN, 5713349]
