[1723, 1092]
[paragraph, [99.0, 98.0, 893.0, 36.0], shoonya_0s47QZJ4XD8QXK, 5680915]
[paragraph, [99.0, 134.0, 893.0, 36.0], shoonya_0s47QZJ4XD8QXK, 5680915]
[ordered-list, [92.0, 197.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 233.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 269.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 305.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 341.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 377.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 413.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 449.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 485.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 521.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 557.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 593.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 629.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 665.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 701.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 737.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 773.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 809.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 845.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 881.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 917.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 953.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 989.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1025.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1061.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1097.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1133.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1169.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1205.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1241.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1277.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1313.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1349.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1385.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1421.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1457.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1493.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[ordered-list, [92.0, 1529.0, 910.0, 36.0], 7k9wwKRUuQ, 5680915]
[sub-ordered-list, [155.0, 905.0, 832.0, 36.0], XNSu6wcWeO, 5680915]
[sub-ordered-list, [155.0, 941.0, 832.0, 36.0], XNSu6wcWeO, 5680915]
[sub-ordered-list, [155.0, 977.0, 832.0, 36.0], XNSu6wcWeO, 5680915]
[sub-ordered-list, [155.0, 1013.0, 832.0, 36.0], XNSu6wcWeO, 5680915]
[sub-ordered-list, [155.0, 1049.0, 832.0, 36.0], XNSu6wcWeO, 5680915]
[sub-ordered-list, [155.0, 1085.0, 832.0, 36.0], XNSu6wcWeO, 5680915]
