[709, 412]
[folio, [188.0, 35.0, 37.0, 18.0], k_EGed0Sho, 5741014]
[paragraph, [29.0, 61.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 79.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 97.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 115.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 133.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 151.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 169.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 187.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 205.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 223.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 241.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 259.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 277.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 295.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 313.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 331.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 349.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 367.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 385.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 403.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 421.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 439.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 457.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 475.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 493.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 511.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 529.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 547.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 565.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 583.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 601.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 619.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 637.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [29.0, 655.0, 175.0, 18.0], qZjn6gVeQp, 5741014]
[paragraph, [207.0, 63.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 81.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 99.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 117.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 135.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 153.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 171.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 189.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 207.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 225.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 243.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 261.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 279.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 297.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 315.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 333.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 351.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 369.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 387.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 405.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 423.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 441.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 459.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 477.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 495.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 513.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 531.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
[paragraph, [207.0, 549.0, 179.0, 18.0], wjVzHA2j9B, 5741014]
