[3300, 2550]
[paragraph, [277.0, 274.0, 2019.0, 52.5], shoonya_2sWW10GXPK7UEO, 5719907]
[paragraph, [277.0, 326.5, 2019.0, 52.5], shoonya_2sWW10GXPK7UEO, 5719907]
[paragraph, [277.0, 379.0, 2019.0, 52.5], shoonya_2sWW10GXPK7UEO, 5719907]
[paragraph, [277.0, 431.5, 2019.0, 52.5], shoonya_2sWW10GXPK7UEO, 5719907]
[paragraph, [278.0, 570.0, 1427.0, 52.5], m99fra85ov, 5719907]
[paragraph, [280.0, 695.0, 1985.0, 52.5], 60GQlUg7Yl, 5719907]
[paragraph, [280.0, 747.5, 1985.0, 52.5], 60GQlUg7Yl, 5719907]
[paragraph, [280.0, 800.0, 1985.0, 52.5], 60GQlUg7Yl, 5719907]
[paragraph, [280.0, 852.5, 1985.0, 52.5], 60GQlUg7Yl, 5719907]
[paragraph, [280.0, 966.0, 1995.0, 52.5], nGJiS5pAmW, 5719907]
[paragraph, [280.0, 1018.5, 1995.0, 52.5], nGJiS5pAmW, 5719907]
[paragraph, [280.0, 1071.0, 1995.0, 52.5], nGJiS5pAmW, 5719907]
[paragraph, [280.0, 1123.5, 1995.0, 52.5], nGJiS5pAmW, 5719907]
[paragraph, [280.0, 1176.0, 1995.0, 52.5], nGJiS5pAmW, 5719907]
[paragraph, [264.0, 1272.0, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1324.5, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1377.0, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1429.5, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1482.0, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1534.5, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1587.0, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1639.5, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1692.0, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1744.5, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1797.0, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1849.5, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [264.0, 1902.0, 2020.0, 52.5], CN7zMk6j55, 5719907]
[paragraph, [256.0, 1984.0, 1999.0, 52.5], shoonya_1sTPT6HBTQPN31, 5719907]
[paragraph, [256.0, 2036.5, 1999.0, 52.5], shoonya_1sTPT6HBTQPN31, 5719907]
[paragraph, [256.0, 2089.0, 1999.0, 52.5], shoonya_1sTPT6HBTQPN31, 5719907]
[paragraph, [280.0, 2186.0, 482.0, 52.5], Oij2FLs0_i, 5719907]
[paragraph, [280.0, 2238.5, 482.0, 52.5], Oij2FLs0_i, 5719907]
[paragraph, [283.0, 2314.0, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2366.5, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2419.0, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2471.5, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2524.0, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2576.5, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2629.0, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2681.5, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2734.0, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2786.5, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2839.0, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2891.5, 1992.0, 52.5], CwPoBKWnK8, 5719907]
[paragraph, [283.0, 2944.0, 1992.0, 52.5], CwPoBKWnK8, 5719907]
