[596, 421]
[section-title, [92.0, 40.0, 135.0, 30.0], z42FNHomiw, 6534002]
[paragraph, [47.0, 85.0, 209.0, 18.0], 7du8vlDDs4, 6534002]
[paragraph, [47.0, 103.0, 209.0, 18.0], 7du8vlDDs4, 6534002]
[paragraph, [57.0, 133.0, 183.0, 18.0], hy_scHRY6N, 6534002]
[paragraph, [57.0, 151.0, 183.0, 18.0], hy_scHRY6N, 6534002]
[paragraph, [52.0, 179.0, 196.0, 18.0], U_DKLwLIn9, 6534002]
[paragraph, [52.0, 197.0, 196.0, 18.0], U_DKLwLIn9, 6534002]
[section-title, [294.0, 339.0, 98.0, 30.0], Kvf3aD2jZ4, 6534002]
[paragraph, [264.0, 380.0, 145.0, 18.0], oMZa2S0aFk, 6534002]
[paragraph, [264.0, 398.0, 145.0, 18.0], oMZa2S0aFk, 6534002]
[paragraph, [261.0, 433.0, 147.0, 18.0], k3ucRxCyiT, 6534002]
[paragraph, [261.0, 451.0, 147.0, 18.0], k3ucRxCyiT, 6534002]
[paragraph, [262.0, 477.0, 145.0, 18.0], wrJaPwdEwU, 6534002]
[paragraph, [262.0, 495.0, 145.0, 18.0], wrJaPwdEwU, 6534002]
