[1650, 1275]
[paragraph, [144.0, 149.0, 991.0, 36.0], shoonya_0sZPYF2WXSHTZI, 5774585]
[paragraph, [144.0, 185.0, 991.0, 36.0], shoonya_0sZPYF2WXSHTZI, 5774585]
[paragraph, [144.0, 221.0, 991.0, 36.0], shoonya_0sZPYF2WXSHTZI, 5774585]
[paragraph, [144.0, 257.0, 991.0, 36.0], shoonya_0sZPYF2WXSHTZI, 5774585]
[paragraph, [144.0, 293.0, 991.0, 36.0], shoonya_0sZPYF2WXSHTZI, 5774585]
[paragraph, [144.0, 329.0, 991.0, 36.0], shoonya_0sZPYF2WXSHTZI, 5774585]
[paragraph, [144.0, 365.0, 991.0, 36.0], shoonya_0sZPYF2WXSHTZI, 5774585]
[paragraph, [146.0, 429.0, 986.0, 36.0], shoonya_1sA73BAHGZGI8N, 5774585]
[paragraph, [146.0, 465.0, 986.0, 36.0], shoonya_1sA73BAHGZGI8N, 5774585]
[paragraph, [146.0, 501.0, 986.0, 36.0], shoonya_1sA73BAHGZGI8N, 5774585]
[paragraph, [146.0, 537.0, 986.0, 36.0], shoonya_1sA73BAHGZGI8N, 5774585]
[section-title, [157.0, 623.0, 196.0, 49.5], yyyC4NIWak, 5774585]
[paragraph, [167.0, 744.0, 938.0, 36.0], shoonya_4s9DR78J7KJFUW, 5774585]
[paragraph, [167.0, 780.0, 938.0, 36.0], shoonya_4s9DR78J7KJFUW, 5774585]
[paragraph, [167.0, 816.0, 938.0, 36.0], shoonya_4s9DR78J7KJFUW, 5774585]
[unordered-list, [187.0, 873.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 909.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 945.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 981.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 1017.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 1053.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 1089.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 1125.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 1161.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[unordered-list, [187.0, 1197.0, 326.0, 36.0], shoonya_3sULU7E5V3O5O8, 5774585]
[answer, [145.0, 1265.0, 969.0, 36.0], iKedgNlC5l, 5774585]
[answer, [145.0, 1301.0, 969.0, 36.0], iKedgNlC5l, 5774585]
[answer, [145.0, 1337.0, 969.0, 36.0], iKedgNlC5l, 5774585]
[answer, [145.0, 1373.0, 969.0, 36.0], iKedgNlC5l, 5774585]
[answer, [145.0, 1409.0, 969.0, 36.0], iKedgNlC5l, 5774585]
[paragraph, [168.0, 1313.0, 925.0, 36.0], shoonya_2sKD10VQZXWFQ0, 5774585]
[paragraph, [168.0, 1349.0, 925.0, 36.0], shoonya_2sKD10VQZXWFQ0, 5774585]
[paragraph, [168.0, 1385.0, 925.0, 36.0], shoonya_2sKD10VQZXWFQ0, 5774585]
