[1387, 987]
[paragraph, [87.0, 95.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 113.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 131.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 149.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 167.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 185.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 203.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 221.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 239.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 257.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 275.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 293.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 311.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 329.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 347.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 365.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 383.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 401.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 419.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 437.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 455.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 473.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 491.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 509.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 527.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 545.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 563.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
[paragraph, [87.0, 581.0, 836.0, 18.0], shoonya_0sAHKSQMY2XJGE, 5651499]
