[1754, 1241]
[section-title, [219.0, 144.0, 297.0, 49.5], shoonya_7sP0KIWI1EOX75, 6470455]
[paragraph, [204.0, 206.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 242.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 278.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 314.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 350.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 386.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 422.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 458.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 494.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 530.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 566.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 602.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 638.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 674.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 710.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 746.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 782.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 818.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 854.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [204.0, 890.0, 903.0, 36.0], shoonya_0sQY7CILRL1OE4, 6470455]
[paragraph, [213.0, 954.0, 882.0, 36.0], shoonya_2sJZC6F5KPZOIQ, 6470455]
[paragraph, [213.0, 990.0, 882.0, 36.0], shoonya_2sJZC6F5KPZOIQ, 6470455]
[paragraph, [213.0, 1026.0, 882.0, 36.0], shoonya_2sJZC6F5KPZOIQ, 6470455]
[paragraph, [213.0, 1062.0, 882.0, 36.0], shoonya_2sJZC6F5KPZOIQ, 6470455]
[paragraph, [217.0, 1128.0, 885.0, 36.0], shoonya_1sHLSOIHM9AOGD, 6470455]
[paragraph, [217.0, 1164.0, 885.0, 36.0], shoonya_1sHLSOIHM9AOGD, 6470455]
[paragraph, [217.0, 1200.0, 885.0, 36.0], shoonya_1sHLSOIHM9AOGD, 6470455]
[paragraph, [217.0, 1236.0, 885.0, 36.0], shoonya_1sHLSOIHM9AOGD, 6470455]
[paragraph, [217.0, 1300.0, 881.0, 36.0], shoonya_3sZX8KG8HH2BL9, 6470455]
[paragraph, [217.0, 1336.0, 881.0, 36.0], shoonya_3sZX8KG8HH2BL9, 6470455]
[paragraph, [217.0, 1372.0, 881.0, 36.0], shoonya_3sZX8KG8HH2BL9, 6470455]
[paragraph, [217.0, 1408.0, 881.0, 36.0], shoonya_3sZX8KG8HH2BL9, 6470455]
[footnote, [213.0, 1538.0, 856.0, 36.0], shoonya_4sYYEPJ96W5GDS, 6470455]
