[2200, 1700]
[paragraph, [301.0, 91.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 127.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 163.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 199.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 235.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 271.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 307.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 343.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 379.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 415.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[paragraph, [301.0, 451.0, 1089.0, 36.0], shoonya_0sNZULF2NXWRQD, 5731705]
[section-title, [310.0, 514.0, 967.0, 52.5], shoonya_3sZCZJRQVZM1RW, 5731705]
[ordered-list, [299.0, 592.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 628.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 664.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 700.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 736.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 772.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 808.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 844.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 880.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 916.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 952.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 988.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1024.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1060.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1096.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1132.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1168.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1204.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1240.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1276.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1312.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1348.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1384.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1420.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1456.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1492.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1528.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1564.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1600.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1636.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1672.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1708.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1744.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1780.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1816.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1852.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1888.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[ordered-list, [299.0, 1924.0, 1084.0, 36.0], shoonya_2sKCX5CQ87B5O8, 5731705]
[folio, [409.0, 2034.0, 377.0, 36.0], shoonya_4sDD87YP74WTGM, 5731705]
