[1468, 909]
[folio, [388.0, 79.0, 140.0, 18.0], 6pmPHG3Cou, 5770349]
[folio, [388.0, 97.0, 140.0, 18.0], 6pmPHG3Cou, 5770349]
[paragraph, [456.0, 144.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 162.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 180.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 198.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 216.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 234.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 252.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 270.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 288.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 306.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 324.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 342.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 360.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 378.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 396.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 414.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 432.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [456.0, 450.0, 369.0, 18.0], NS4aanr611, 5770349]
[paragraph, [73.0, 147.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 165.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 183.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 201.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 219.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 237.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 255.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 273.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 291.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 309.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 327.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 345.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [73.0, 363.0, 370.0, 18.0], kjF8fFSyV5, 5770349]
[paragraph, [106.0, 405.0, 323.0, 18.0], 3r78LRHZkP, 5770349]
[paragraph, [106.0, 423.0, 323.0, 18.0], 3r78LRHZkP, 5770349]
[paragraph, [106.0, 441.0, 323.0, 18.0], 3r78LRHZkP, 5770349]
[paragraph, [106.0, 459.0, 323.0, 18.0], 3r78LRHZkP, 5770349]
[paragraph, [106.0, 477.0, 323.0, 18.0], 3r78LRHZkP, 5770349]
[paragraph, [106.0, 495.0, 323.0, 18.0], 3r78LRHZkP, 5770349]
[paragraph, [461.0, 462.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 480.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 498.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 516.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 534.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 552.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 570.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 588.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 606.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 624.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 642.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 660.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 678.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 696.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 714.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 732.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 750.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 768.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 786.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 804.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 822.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [461.0, 840.0, 364.0, 18.0], iUM5MRfJzU, 5770349]
[paragraph, [80.0, 522.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 540.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 558.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 576.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 594.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 612.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 630.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 648.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 666.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 684.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 702.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 720.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 738.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [80.0, 756.0, 364.0, 18.0], -5KlLq-QlQ, 5770349]
[paragraph, [82.0, 783.0, 362.0, 18.0], -tTHOCwVU-, 5770349]
[paragraph, [82.0, 801.0, 362.0, 18.0], -tTHOCwVU-, 5770349]
[paragraph, [79.0, 837.0, 363.0, 18.0], AdnewXg5Yp, 5770349]
[paragraph, [79.0, 855.0, 363.0, 18.0], AdnewXg5Yp, 5770349]
[paragraph, [79.0, 873.0, 363.0, 18.0], AdnewXg5Yp, 5770349]
[paragraph, [79.0, 891.0, 363.0, 18.0], AdnewXg5Yp, 5770349]
