[612, 396]
[paragraph, [33.0, 66.0, 327.0, 18.0], yIq6CP5ldg, 6516550]
[paragraph, [33.0, 84.0, 327.0, 18.0], yIq6CP5ldg, 6516550]
[paragraph, [33.0, 102.0, 327.0, 18.0], yIq6CP5ldg, 6516550]
[paragraph, [33.0, 120.0, 327.0, 18.0], yIq6CP5ldg, 6516550]
[paragraph, [33.0, 138.0, 327.0, 18.0], yIq6CP5ldg, 6516550]
[paragraph, [34.0, 180.0, 325.0, 18.0], shoonya_0sPSPCJIKIUHF3, 6516550]
[paragraph, [34.0, 198.0, 325.0, 18.0], shoonya_0sPSPCJIKIUHF3, 6516550]
[paragraph, [34.0, 216.0, 325.0, 18.0], shoonya_0sPSPCJIKIUHF3, 6516550]
[paragraph, [34.0, 234.0, 325.0, 18.0], shoonya_0sPSPCJIKIUHF3, 6516550]
[paragraph, [34.0, 252.0, 325.0, 18.0], shoonya_0sPSPCJIKIUHF3, 6516550]
[paragraph, [34.0, 270.0, 325.0, 18.0], shoonya_0sPSPCJIKIUHF3, 6516550]
[paragraph, [37.0, 303.0, 322.0, 18.0], 3ZQq-zVjUU, 6516550]
[paragraph, [37.0, 321.0, 322.0, 18.0], 3ZQq-zVjUU, 6516550]
[paragraph, [37.0, 339.0, 322.0, 18.0], 3ZQq-zVjUU, 6516550]
[paragraph, [33.0, 389.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 407.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 425.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 443.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 461.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 479.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 497.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 515.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 533.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
[paragraph, [33.0, 551.0, 328.0, 18.0], kmiOsqeIrH, 6516550]
