[2339, 1653]
[folio, [1225.0, 324.0, 185.0, 36.0], JWP079EOcv, 5735488]
[folio, [229.0, 330.0, 171.0, 36.0], qdr-eyH-rq, 5735488]
[paragraph, [234.0, 385.0, 584.0, 36.0], shoonya_4sXOAMUAWW2PYM, 5735488]
[paragraph, [234.0, 421.0, 584.0, 36.0], shoonya_4sXOAMUAWW2PYM, 5735488]
[paragraph, [234.0, 457.0, 584.0, 36.0], shoonya_4sXOAMUAWW2PYM, 5735488]
[paragraph, [234.0, 493.0, 584.0, 36.0], shoonya_4sXOAMUAWW2PYM, 5735488]
[paragraph, [234.0, 529.0, 584.0, 36.0], shoonya_4sXOAMUAWW2PYM, 5735488]
[paragraph, [836.0, 390.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 426.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 462.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 498.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 534.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 570.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 606.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 642.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 678.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 714.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 750.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 786.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 822.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 858.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 894.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[paragraph, [836.0, 930.0, 579.0, 36.0], shoonya_1sKNNGVRNZU19M, 5735488]
[sidebar, [1456.0, 443.0, 132.0, 36.0], shoonya_10s6ER7TVNNCNL, 5735488]
[author, [635.0, 571.0, 181.0, 36.0], MikPyGsEWM, 5735488]
[ordered-list, [238.0, 618.0, 579.0, 36.0], shoonya_7s8D6J424MXAX3, 5735488]
[ordered-list, [238.0, 654.0, 579.0, 36.0], shoonya_7s8D6J424MXAX3, 5735488]
[section-title, [229.0, 743.0, 216.0, 52.5], 4oh19craqq, 5735488]
[paragraph, [490.0, 883.0, 324.0, 36.0], shoonya_8sPR99DMHWTWFT, 5735488]
[paragraph, [490.0, 919.0, 324.0, 36.0], shoonya_8sPR99DMHWTWFT, 5735488]
[paragraph, [490.0, 955.0, 324.0, 36.0], shoonya_8sPR99DMHWTWFT, 5735488]
[paragraph, [490.0, 991.0, 324.0, 36.0], shoonya_8sPR99DMHWTWFT, 5735488]
[paragraph, [490.0, 1027.0, 324.0, 36.0], shoonya_8sPR99DMHWTWFT, 5735488]
