[1162, 749]
[folio, [302.0, 75.0, 132.0, 18.0], shoonya_4s9CW5KVEA59YW, 5699802]
[paragraph, [74.0, 116.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 134.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 152.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 170.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 188.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 206.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 224.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 242.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [74.0, 260.0, 590.0, 18.0], shoonya_0s4QYC7PP4I9FO, 5699802]
[paragraph, [79.0, 295.0, 583.0, 18.0], shoonya_1sJ4IJFET72QTU, 5699802]
[paragraph, [79.0, 313.0, 583.0, 18.0], shoonya_1sJ4IJFET72QTU, 5699802]
[paragraph, [79.0, 331.0, 583.0, 18.0], shoonya_1sJ4IJFET72QTU, 5699802]
[paragraph, [81.0, 362.0, 584.0, 18.0], shoonya_7sUYN3S21ZQ5XO, 5699802]
[paragraph, [81.0, 380.0, 584.0, 18.0], shoonya_7sUYN3S21ZQ5XO, 5699802]
[paragraph, [81.0, 398.0, 584.0, 18.0], shoonya_7sUYN3S21ZQ5XO, 5699802]
[paragraph, [81.0, 416.0, 584.0, 18.0], shoonya_7sUYN3S21ZQ5XO, 5699802]
[paragraph, [79.0, 441.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 459.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 477.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 495.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 513.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 531.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 549.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 567.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 585.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 603.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 621.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 639.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 657.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 675.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 693.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 711.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 729.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[paragraph, [79.0, 747.0, 292.0, 18.0], Ic8In0xxqi, 5699802]
[figure-caption, [450.0, 460.0, 145.0, 18.0], shoonya_5sWXI3H6M2QG1D, 5699802]
[paragraph, [82.0, 779.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 797.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 815.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 833.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 851.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 869.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 887.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 905.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 923.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 941.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 959.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 977.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 995.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 1013.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 1031.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 1049.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
[paragraph, [82.0, 1067.0, 588.0, 18.0], shoonya_3sBSO0FQ8TEBPK, 5699802]
