[1700, 2200]
[website-link, [14.0, 87.0, 328.0, 18.0], cfj-95egVX, 5735595]
[website-link, [14.0, 105.0, 328.0, 18.0], cfj-95egVX, 5735595]
[paragraph, [395.0, 247.0, 1612.0, 36.0], -vVkdfuUj5, 5735595]
[paragraph, [395.0, 283.0, 1612.0, 36.0], -vVkdfuUj5, 5735595]
[paragraph, [395.0, 319.0, 1612.0, 36.0], -vVkdfuUj5, 5735595]
[paragraph, [395.0, 355.0, 1612.0, 36.0], -vVkdfuUj5, 5735595]
[paragraph, [382.0, 467.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 503.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 539.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 575.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 611.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 647.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 683.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 719.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 755.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 791.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 827.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 863.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [382.0, 899.0, 1628.0, 36.0], shoonya_3s9WEC0A4PZ0ZZ, 5735595]
[paragraph, [380.0, 1040.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1076.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1112.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1148.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1184.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1220.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1256.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1292.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
[paragraph, [380.0, 1328.0, 1626.0, 36.0], shoonya_2sRA1A46940RFF, 5735595]
