[1755, 1241]
[folio, [687.0, 71.0, 362.0, 36.0], 0bX8zsPpFv, 5759856]
[paragraph, [302.0, 189.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 225.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 261.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 297.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 333.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 369.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 405.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 441.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 477.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[paragraph, [302.0, 513.0, 646.0, 36.0], 0rf8yMFEO9, 5759856]
[sidebar, [952.0, 386.0, 51.0, 36.0], 3SGyiiHH3T, 5759856]
[paragraph, [229.0, 588.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 624.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 660.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 696.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 732.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 768.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 804.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 840.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 876.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 912.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 948.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 984.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1020.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1056.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1092.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1128.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1164.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1200.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1236.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1272.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1308.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1344.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1380.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1416.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1452.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1488.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1524.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1560.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
[paragraph, [229.0, 1596.0, 825.0, 36.0], shoonya_0sJMJ9NZUA6ZJ0, 5759856]
