[838, 612]
[chapter-title, [204.0, 13.0, 172.0, 30.0], shoonya_0sORLU6ZHIAQSX, 6460851]
[paragraph, [101.0, 63.0, 363.0, 18.0], shoonya_2s1VC2H4JH59ZB, 6460851]
[paragraph, [101.0, 81.0, 363.0, 18.0], shoonya_2s1VC2H4JH59ZB, 6460851]
[paragraph, [101.0, 99.0, 363.0, 18.0], shoonya_2s1VC2H4JH59ZB, 6460851]
[paragraph, [101.0, 117.0, 363.0, 18.0], shoonya_2s1VC2H4JH59ZB, 6460851]
[paragraph, [92.0, 146.0, 362.0, 18.0], shoonya_3sAZ7W1ZYI85O3, 6460851]
[paragraph, [92.0, 164.0, 362.0, 18.0], shoonya_3sAZ7W1ZYI85O3, 6460851]
[paragraph, [92.0, 182.0, 362.0, 18.0], shoonya_3sAZ7W1ZYI85O3, 6460851]
[paragraph, [92.0, 200.0, 362.0, 18.0], shoonya_3sAZ7W1ZYI85O3, 6460851]
[paragraph, [89.0, 226.0, 372.0, 18.0], shoonya_1sQ8ACCEEOOAYJ, 6460851]
[paragraph, [89.0, 244.0, 372.0, 18.0], shoonya_1sQ8ACCEEOOAYJ, 6460851]
[paragraph, [89.0, 262.0, 372.0, 18.0], shoonya_1sQ8ACCEEOOAYJ, 6460851]
[paragraph, [89.0, 280.0, 372.0, 18.0], shoonya_1sQ8ACCEEOOAYJ, 6460851]
[paragraph, [86.0, 304.0, 363.0, 18.0], shoonya_5sU4ELV3UYJIRY, 6460851]
[paragraph, [86.0, 322.0, 363.0, 18.0], shoonya_5sU4ELV3UYJIRY, 6460851]
[paragraph, [86.0, 340.0, 363.0, 18.0], shoonya_5sU4ELV3UYJIRY, 6460851]
[paragraph, [86.0, 358.0, 363.0, 18.0], shoonya_5sU4ELV3UYJIRY, 6460851]
[paragraph, [84.0, 381.0, 358.0, 18.0], shoonya_4sPD1BA7ZRFDA2, 6460851]
[paragraph, [84.0, 399.0, 358.0, 18.0], shoonya_4sPD1BA7ZRFDA2, 6460851]
[paragraph, [84.0, 417.0, 358.0, 18.0], shoonya_4sPD1BA7ZRFDA2, 6460851]
[paragraph, [84.0, 435.0, 358.0, 18.0], shoonya_4sPD1BA7ZRFDA2, 6460851]
[paragraph, [89.0, 458.0, 360.0, 18.0], E0LQfy9f0v, 6460851]
[paragraph, [89.0, 476.0, 360.0, 18.0], E0LQfy9f0v, 6460851]
[paragraph, [89.0, 494.0, 360.0, 18.0], E0LQfy9f0v, 6460851]
[paragraph, [89.0, 512.0, 360.0, 18.0], E0LQfy9f0v, 6460851]
[paragraph, [89.0, 528.0, 380.0, 18.0], vKiA5_q-cQ, 6460851]
[paragraph, [89.0, 546.0, 380.0, 18.0], vKiA5_q-cQ, 6460851]
[paragraph, [89.0, 564.0, 380.0, 18.0], vKiA5_q-cQ, 6460851]
[paragraph, [89.0, 582.0, 380.0, 18.0], vKiA5_q-cQ, 6460851]
[paragraph, [82.0, 607.0, 384.0, 18.0], QyqdoEOfsm, 6460851]
[paragraph, [82.0, 625.0, 384.0, 18.0], QyqdoEOfsm, 6460851]
[paragraph, [82.0, 643.0, 384.0, 18.0], QyqdoEOfsm, 6460851]
[paragraph, [82.0, 661.0, 384.0, 18.0], QyqdoEOfsm, 6460851]
[paragraph, [80.0, 703.0, 386.0, 18.0], Quwm5au5LJ, 6460851]
[paragraph, [80.0, 721.0, 386.0, 18.0], Quwm5au5LJ, 6460851]
[paragraph, [80.0, 739.0, 386.0, 18.0], Quwm5au5LJ, 6460851]
[paragraph, [80.0, 757.0, 386.0, 18.0], Quwm5au5LJ, 6460851]
