[843, 596]
[paragraph, [66.0, 119.0, 314.0, 18.0], shoonya_1sX6ZNXKGF3OIE, 5660580]
[unordered-list, [70.0, 154.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 172.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 190.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 208.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 226.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 244.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 262.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 280.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 298.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 316.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 334.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 352.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 370.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
[unordered-list, [70.0, 388.0, 343.0, 18.0], shoonya_0sDI3OXA65IUP0, 5660580]
