[2650, 2048]
[section-title, [87.0, 106.0, 917.0, 79.5], shoonya_13s9O5D4ORK87Y, 6473770]
[paragraph, [86.0, 310.0, 937.0, 46.5], shoonya_15s1ALKEM001QK, 6473770]
[paragraph, [86.0, 356.5, 937.0, 46.5], shoonya_15s1ALKEM001QK, 6473770]
[paragraph, [86.0, 403.0, 937.0, 46.5], shoonya_15s1ALKEM001QK, 6473770]
[paragraph, [87.0, 496.0, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 542.5, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 589.0, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 635.5, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 682.0, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 728.5, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 775.0, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 821.5, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [87.0, 868.0, 938.0, 46.5], shoonya_3s06TDMG7VNY74, 6473770]
[paragraph, [91.0, 979.0, 939.0, 46.5], shoonya_9s0LFT1KKYZYOR, 6473770]
[paragraph, [91.0, 1025.5, 939.0, 46.5], shoonya_9s0LFT1KKYZYOR, 6473770]
[paragraph, [91.0, 1072.0, 939.0, 46.5], shoonya_9s0LFT1KKYZYOR, 6473770]
[paragraph, [91.0, 1118.5, 939.0, 46.5], shoonya_9s0LFT1KKYZYOR, 6473770]
[paragraph, [81.0, 1212.0, 943.0, 46.5], shoonya_7sORKCQQRSH0HT, 6473770]
[paragraph, [81.0, 1258.5, 943.0, 46.5], shoonya_7sORKCQQRSH0HT, 6473770]
[paragraph, [81.0, 1305.0, 943.0, 46.5], shoonya_7sORKCQQRSH0HT, 6473770]
[paragraph, [81.0, 1351.5, 943.0, 46.5], shoonya_7sORKCQQRSH0HT, 6473770]
[paragraph, [81.0, 1398.0, 943.0, 46.5], shoonya_7sORKCQQRSH0HT, 6473770]
[paragraph, [83.0, 1495.0, 942.0, 46.5], shoonya_4s72XDJF1WEQRR, 6473770]
[paragraph, [83.0, 1541.5, 942.0, 46.5], shoonya_4s72XDJF1WEQRR, 6473770]
[paragraph, [83.0, 1588.0, 942.0, 46.5], shoonya_4s72XDJF1WEQRR, 6473770]
[paragraph, [83.0, 1634.5, 942.0, 46.5], shoonya_4s72XDJF1WEQRR, 6473770]
[paragraph, [83.0, 1681.0, 942.0, 46.5], shoonya_4s72XDJF1WEQRR, 6473770]
[paragraph, [83.0, 1727.5, 942.0, 46.5], shoonya_4s72XDJF1WEQRR, 6473770]
[paragraph, [83.0, 1774.0, 942.0, 46.5], shoonya_4s72XDJF1WEQRR, 6473770]
[paragraph, [73.0, 1882.0, 951.0, 46.5], shoonya_1sJPVHGXVF5F7E, 6473770]
[paragraph, [73.0, 1928.5, 951.0, 46.5], shoonya_1sJPVHGXVF5F7E, 6473770]
[paragraph, [73.0, 1975.0, 951.0, 46.5], shoonya_1sJPVHGXVF5F7E, 6473770]
[paragraph, [73.0, 2021.5, 951.0, 46.5], shoonya_1sJPVHGXVF5F7E, 6473770]
[paragraph, [73.0, 2068.0, 951.0, 46.5], shoonya_1sJPVHGXVF5F7E, 6473770]
[paragraph, [73.0, 2114.5, 951.0, 46.5], shoonya_1sJPVHGXVF5F7E, 6473770]
[paragraph, [73.0, 2161.0, 951.0, 46.5], shoonya_1sJPVHGXVF5F7E, 6473770]
