[1725, 1313]
[paragraph, [661.0, 143.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 179.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 215.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 251.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 287.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 323.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 359.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 395.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 431.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 467.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 503.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [661.0, 539.0, 527.0, 36.0], shoonya_9sBUGBW0TQNN4I, 5771792]
[paragraph, [478.0, 147.0, 168.0, 36.0], shoonya_10sRFV1TGIAPXE, 5771792]
[paragraph, [478.0, 183.0, 168.0, 36.0], shoonya_10sRFV1TGIAPXE, 5771792]
[paragraph, [478.0, 219.0, 168.0, 36.0], shoonya_10sRFV1TGIAPXE, 5771792]
[paragraph, [478.0, 255.0, 168.0, 36.0], shoonya_10sRFV1TGIAPXE, 5771792]
[paragraph, [478.0, 291.0, 168.0, 36.0], shoonya_10sRFV1TGIAPXE, 5771792]
[paragraph, [255.0, 349.0, 392.0, 36.0], shoonya_12sQUGJ22G3PUN, 5771792]
[paragraph, [114.0, 408.0, 538.0, 36.0], _-fbBmTZn_, 5771792]
[paragraph, [114.0, 444.0, 538.0, 36.0], _-fbBmTZn_, 5771792]
[paragraph, [114.0, 480.0, 538.0, 36.0], _-fbBmTZn_, 5771792]
[paragraph, [114.0, 516.0, 538.0, 36.0], _-fbBmTZn_, 5771792]
[paragraph, [114.0, 552.0, 538.0, 36.0], _-fbBmTZn_, 5771792]
[paragraph, [114.0, 588.0, 538.0, 36.0], _-fbBmTZn_, 5771792]
[paragraph, [114.0, 624.0, 538.0, 36.0], _-fbBmTZn_, 5771792]
[paragraph, [662.0, 612.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [662.0, 648.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [662.0, 684.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [662.0, 720.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [662.0, 756.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [662.0, 792.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [662.0, 828.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [662.0, 864.0, 528.0, 36.0], shoonya_0sOBBL2VF1NXTO, 5771792]
[paragraph, [118.0, 670.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [118.0, 706.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [118.0, 742.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [118.0, 778.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [118.0, 814.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [118.0, 850.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [118.0, 886.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [118.0, 922.0, 527.0, 36.0], shoonya_3sNQNEJ1V0ZNT4, 5771792]
[paragraph, [663.0, 912.0, 528.0, 36.0], shoonya_4sRH32TNL9O953, 5771792]
[paragraph, [663.0, 948.0, 528.0, 36.0], shoonya_4sRH32TNL9O953, 5771792]
[paragraph, [663.0, 984.0, 528.0, 36.0], shoonya_4sRH32TNL9O953, 5771792]
[paragraph, [663.0, 1020.0, 528.0, 36.0], shoonya_4sRH32TNL9O953, 5771792]
[paragraph, [119.0, 969.0, 529.0, 36.0], shoonya_1sRM9P5IU9J3FG, 5771792]
[paragraph, [119.0, 1005.0, 529.0, 36.0], shoonya_1sRM9P5IU9J3FG, 5771792]
[paragraph, [119.0, 1041.0, 529.0, 36.0], shoonya_1sRM9P5IU9J3FG, 5771792]
[paragraph, [119.0, 1077.0, 529.0, 36.0], shoonya_1sRM9P5IU9J3FG, 5771792]
