[1388, 886]
[folio, [649.0, 59.0, 195.0, 18.0], shoonya_2sCV27MFTTF4TN, 5742467]
[folio, [365.0, 64.0, 124.0, 18.0], shoonya_1sB6HOAAQBILTG, 5742467]
[paragraph, [447.0, 123.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 141.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 159.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 177.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 195.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 213.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 231.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 249.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 267.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 285.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 303.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 321.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 339.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 357.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 375.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 393.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 411.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 429.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [447.0, 447.0, 396.0, 18.0], shoonya_3sP6AP1R5LF59Z, 5742467]
[paragraph, [33.0, 125.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 143.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 161.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 179.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 197.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 215.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 233.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 251.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 269.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 287.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 305.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 323.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 341.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 359.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 377.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
[paragraph, [33.0, 395.0, 398.0, 18.0], shoonya_4s7GN02RY9QL71, 5742467]
