[2061, 1233]
[paragraph, [113.0, 109.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 145.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 181.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 217.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 253.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 289.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 325.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 361.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 397.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 433.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 469.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [113.0, 505.0, 1010.0, 36.0], shoonya_3s2RB9CG5GOQA7, 5691929]
[paragraph, [112.0, 573.0, 1013.0, 36.0], shoonya_2sYANQ5CEGC2C1, 5691929]
[paragraph, [112.0, 609.0, 1013.0, 36.0], shoonya_2sYANQ5CEGC2C1, 5691929]
[paragraph, [112.0, 645.0, 1013.0, 36.0], shoonya_2sYANQ5CEGC2C1, 5691929]
[paragraph, [112.0, 681.0, 1013.0, 36.0], shoonya_2sYANQ5CEGC2C1, 5691929]
[paragraph, [112.0, 717.0, 1013.0, 36.0], shoonya_2sYANQ5CEGC2C1, 5691929]
[paragraph, [112.0, 753.0, 1013.0, 36.0], shoonya_2sYANQ5CEGC2C1, 5691929]
[paragraph, [112.0, 797.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 833.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 869.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 905.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 941.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 977.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 1013.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 1049.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 1085.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 1121.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 1157.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [112.0, 1193.0, 1010.0, 36.0], shoonya_1sCFL2YCV2J8O7, 5691929]
[paragraph, [116.0, 1252.0, 1004.0, 36.0], VJWzOABUyz, 5691929]
[paragraph, [116.0, 1288.0, 1004.0, 36.0], VJWzOABUyz, 5691929]
[paragraph, [116.0, 1324.0, 1004.0, 36.0], VJWzOABUyz, 5691929]
[paragraph, [116.0, 1360.0, 1004.0, 36.0], VJWzOABUyz, 5691929]
[paragraph, [118.0, 1420.0, 999.0, 36.0], CcCTK8Arf_, 5691929]
[paragraph, [118.0, 1456.0, 999.0, 36.0], CcCTK8Arf_, 5691929]
[paragraph, [118.0, 1492.0, 999.0, 36.0], CcCTK8Arf_, 5691929]
[paragraph, [118.0, 1528.0, 999.0, 36.0], CcCTK8Arf_, 5691929]
[paragraph, [115.0, 1591.0, 999.0, 36.0], P-J6SW6Ea3, 5691929]
[paragraph, [115.0, 1627.0, 999.0, 36.0], P-J6SW6Ea3, 5691929]
[paragraph, [115.0, 1663.0, 999.0, 36.0], P-J6SW6Ea3, 5691929]
[paragraph, [115.0, 1699.0, 999.0, 36.0], P-J6SW6Ea3, 5691929]
[paragraph, [111.0, 1759.0, 1005.0, 36.0], T3M85RRX_p, 5691929]
[paragraph, [111.0, 1795.0, 1005.0, 36.0], T3M85RRX_p, 5691929]
[paragraph, [111.0, 1831.0, 1005.0, 36.0], T3M85RRX_p, 5691929]
