[2337, 1642]
[paragraph, [126.0, 128.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 164.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 200.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 236.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 272.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 308.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 344.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 380.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 416.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 452.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 488.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 524.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 560.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 596.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 632.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 668.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 704.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 740.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 776.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 812.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 848.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 884.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 920.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 956.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 992.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 1028.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 1064.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 1100.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 1136.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 1172.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [126.0, 1208.0, 1368.0, 36.0], bODFZ0Oo_X, 5752236]
[paragraph, [141.0, 1272.0, 372.0, 36.0], zbf1wF2WMJ, 5752236]
[paragraph, [141.0, 1308.0, 372.0, 36.0], zbf1wF2WMJ, 5752236]
[paragraph, [136.0, 1371.0, 1281.0, 36.0], dn64rLwSIZ, 5752236]
[paragraph, [136.0, 1407.0, 1281.0, 36.0], dn64rLwSIZ, 5752236]
[paragraph, [136.0, 1443.0, 1281.0, 36.0], dn64rLwSIZ, 5752236]
[paragraph, [136.0, 1479.0, 1281.0, 36.0], dn64rLwSIZ, 5752236]
[paragraph, [134.0, 1557.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1593.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1629.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1665.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1701.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1737.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1773.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1809.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1845.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1881.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[paragraph, [134.0, 1917.0, 1350.0, 36.0], FjuJ9ZF5B-, 5752236]
[website-link, [555.0, 2268.0, 524.0, 18.0], shoonya_4s4T1V3B0Z0NYM, 5752236]
[website-link, [555.0, 2286.0, 524.0, 18.0], shoonya_4s4T1V3B0Z0NYM, 5752236]
[website-link, [555.0, 2304.0, 524.0, 18.0], shoonya_4s4T1V3B0Z0NYM, 5752236]
