[679, 512]
[ordered-list, [110.0, 32.0, 196.0, 18.0], 9Du8RpHRLk, 6495073]
[ordered-list, [47.0, 61.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 79.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 97.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 115.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 133.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 151.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 169.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 187.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 205.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 223.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 241.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 259.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 277.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 295.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 313.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 331.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 349.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 367.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 385.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 403.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 421.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 439.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 457.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 475.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 493.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 511.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 529.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 547.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[ordered-list, [47.0, 565.0, 299.0, 18.0], XPv3J0Bo7F, 6495073]
[sub-ordered-list, [106.0, 76.0, 233.0, 18.0], i5kgaAk9Zb, 6495073]
[sub-ordered-list, [106.0, 94.0, 233.0, 18.0], i5kgaAk9Zb, 6495073]
[sub-ordered-list, [106.0, 112.0, 233.0, 18.0], i5kgaAk9Zb, 6495073]
[sub-ordered-list, [106.0, 156.0, 200.0, 18.0], bt4TvID8ND, 6495073]
[sub-ordered-list, [106.0, 174.0, 200.0, 18.0], bt4TvID8ND, 6495073]
[sub-ordered-list, [106.0, 192.0, 200.0, 18.0], bt4TvID8ND, 6495073]
[sub-ordered-list, [105.0, 235.0, 179.0, 18.0], h4byfdKck5, 6495073]
[sub-ordered-list, [105.0, 253.0, 179.0, 18.0], h4byfdKck5, 6495073]
[sub-ordered-list, [110.0, 311.0, 200.0, 18.0], eNEjlZSqqv, 6495073]
[sub-ordered-list, [110.0, 329.0, 200.0, 18.0], eNEjlZSqqv, 6495073]
[sub-ordered-list, [110.0, 347.0, 200.0, 18.0], eNEjlZSqqv, 6495073]
[sub-ordered-list, [106.0, 393.0, 204.0, 18.0], CzzCRVUqgA, 6495073]
[sub-ordered-list, [106.0, 411.0, 204.0, 18.0], CzzCRVUqgA, 6495073]
[sub-ordered-list, [106.0, 429.0, 204.0, 18.0], CzzCRVUqgA, 6495073]
[sub-ordered-list, [106.0, 447.0, 204.0, 18.0], CzzCRVUqgA, 6495073]
[sub-ordered-list, [109.0, 485.0, 202.0, 18.0], 3v7IrNAJAB, 6495073]
[sub-ordered-list, [109.0, 503.0, 202.0, 18.0], 3v7IrNAJAB, 6495073]
[sub-ordered-list, [109.0, 521.0, 202.0, 18.0], 3v7IrNAJAB, 6495073]
[sub-ordered-list, [109.0, 553.0, 207.0, 18.0], eBdgphiILv, 6495073]
[sub-ordered-list, [109.0, 571.0, 207.0, 18.0], eBdgphiILv, 6495073]
[folio, [151.0, 604.0, 168.0, 18.0], Blsle0ChiP, 6495073]
