[2200, 1700]
[paragraph, [371.0, 168.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 204.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 240.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 276.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 312.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 348.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 384.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 420.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 456.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 492.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 528.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 564.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 600.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 636.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [371.0, 672.0, 1137.0, 36.0], shoonya_2sEMI1V7HAA180, 5733873]
[paragraph, [373.0, 746.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 782.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 818.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 854.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 890.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 926.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 962.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 998.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 1034.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [373.0, 1070.0, 1134.0, 36.0], shoonya_0s12USUTOC5A9L, 5733873]
[paragraph, [374.0, 1160.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1196.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1232.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1268.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1304.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1340.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1376.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1412.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1448.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1484.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1520.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1556.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1592.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1628.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1664.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1700.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1736.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1772.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1808.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1844.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1880.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1916.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1952.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
[paragraph, [374.0, 1988.0, 1128.0, 36.0], shoonya_1sWB1X7JAMG5DL, 5733873]
