[2339, 1653]
[folio, [289.0, 204.0, 210.0, 36.0], 9byorL7riN, 5654992]
[paragraph, [287.0, 313.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 349.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 385.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 421.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 457.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 493.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 529.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 565.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 601.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 637.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 673.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 709.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 745.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 781.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 817.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 853.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 889.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 925.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 961.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 997.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 1033.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 1069.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 1105.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 1141.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 1177.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [287.0, 1213.0, 1092.0, 36.0], shoonya_1s819VQ5BS2JLO, 5654992]
[paragraph, [284.0, 1292.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1328.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1364.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1400.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1436.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1472.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1508.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1544.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1580.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1616.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1652.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1688.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1724.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1760.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1796.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1832.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1868.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1904.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1940.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 1976.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
[paragraph, [284.0, 2012.0, 1078.0, 36.0], shoonya_0sH6KO4X9XRKST, 5654992]
