[2484, 1767]
[paragraph, [325.0, 387.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 423.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 459.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 495.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 531.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 567.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 603.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 639.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 675.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 711.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 747.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 783.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 819.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 855.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 891.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 927.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 963.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 999.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1035.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1071.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1107.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1143.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1179.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1215.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1251.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1287.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1323.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1359.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1395.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1431.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1467.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1503.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1539.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1575.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1611.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1647.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1683.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1719.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1755.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1791.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1827.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1863.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1899.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1935.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 1971.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [325.0, 2007.0, 1328.0, 36.0], shoonya_0sR9347TFWWY4J, 5753876]
[paragraph, [324.0, 2082.0, 1204.0, 36.0], mZ5cXAtl4K, 5753876]
[paragraph, [324.0, 2118.0, 1204.0, 36.0], mZ5cXAtl4K, 5753876]
[paragraph, [324.0, 2154.0, 1204.0, 36.0], mZ5cXAtl4K, 5753876]
