[792, 612]
[section-title, [199.0, 67.0, 232.0, 30.0], e4oK1mGyg4, 6494015]
[paragraph, [94.0, 113.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 131.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 149.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 167.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 185.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 203.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 221.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 239.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 257.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 275.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 293.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 311.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 329.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 347.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 365.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 383.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 401.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 419.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 437.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [94.0, 455.0, 444.0, 18.0], shoonya_0sG029W5VU6CWZ, 6494015]
[paragraph, [92.0, 480.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 498.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 516.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 534.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 552.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 570.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 588.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 606.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 624.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 642.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 660.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 678.0, 450.0, 18.0], t77FqtdLCx, 6494015]
[paragraph, [92.0, 696.0, 450.0, 18.0], t77FqtdLCx, 6494015]
