[2484, 1767]
[paragraph, [347.0, 393.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 429.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 465.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 501.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 537.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 573.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 609.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 645.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 681.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 717.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 753.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 789.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 825.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 861.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 897.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 933.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 969.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 1005.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [347.0, 1041.0, 1275.0, 36.0], shoonya_0sWXCZSDMXV97Q, 5753715]
[paragraph, [329.0, 1071.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1107.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1143.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1179.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1215.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1251.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1287.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1323.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1359.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1395.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1431.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1467.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1503.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1539.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1575.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1611.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1647.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1683.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1719.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1755.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1791.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1827.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1863.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1899.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1935.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [329.0, 1971.0, 1237.0, 36.0], eTgaVWXr5e, 5753715]
[paragraph, [323.0, 2016.0, 1244.0, 36.0], XFqq-Goika, 5753715]
[paragraph, [323.0, 2052.0, 1244.0, 36.0], XFqq-Goika, 5753715]
[paragraph, [323.0, 2088.0, 1244.0, 36.0], XFqq-Goika, 5753715]
[paragraph, [323.0, 2124.0, 1244.0, 36.0], XFqq-Goika, 5753715]
[paragraph, [323.0, 2160.0, 1244.0, 36.0], XFqq-Goika, 5753715]
[paragraph, [323.0, 2196.0, 1244.0, 36.0], XFqq-Goika, 5753715]
[paragraph, [323.0, 2232.0, 1244.0, 36.0], XFqq-Goika, 5753715]
