[2339, 1654]
[paragraph, [182.0, 249.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 285.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 321.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 357.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 393.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 429.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 465.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 501.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 537.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 573.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 609.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 645.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 681.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 717.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [182.0, 753.0, 1283.0, 36.0], shoonya_1sT0Q3EQ72PVLE, 5685787]
[paragraph, [184.0, 863.0, 1277.0, 36.0], shoonya_2sVB7K7YKB4450, 5685787]
[paragraph, [184.0, 899.0, 1277.0, 36.0], shoonya_2sVB7K7YKB4450, 5685787]
[paragraph, [184.0, 935.0, 1277.0, 36.0], shoonya_2sVB7K7YKB4450, 5685787]
[paragraph, [184.0, 971.0, 1277.0, 36.0], shoonya_2sVB7K7YKB4450, 5685787]
[paragraph, [184.0, 1007.0, 1277.0, 36.0], shoonya_2sVB7K7YKB4450, 5685787]
[paragraph, [184.0, 1043.0, 1277.0, 36.0], shoonya_2sVB7K7YKB4450, 5685787]
[paragraph, [184.0, 1079.0, 1277.0, 36.0], shoonya_2sVB7K7YKB4450, 5685787]
[section-title, [193.0, 1177.0, 1059.0, 52.5], shoonya_5sX1OY4W4IVVT4, 5685787]
[paragraph, [183.0, 1305.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1341.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1377.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1413.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1449.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1485.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1521.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1557.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1593.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1629.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1665.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1701.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1737.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1773.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1809.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1845.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1881.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1917.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1953.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
[paragraph, [183.0, 1989.0, 1286.0, 36.0], shoonya_0sC6K0CWPIROHY, 5685787]
