[2339, 1656]
[paragraph, [169.0, 159.0, 1306.0, 36.0], X2b-oJ3BNG, 5735910]
[paragraph, [169.0, 195.0, 1306.0, 36.0], X2b-oJ3BNG, 5735910]
[ordered-list, [192.0, 282.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 318.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 354.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 390.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 426.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 462.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 498.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 534.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 570.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 606.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 642.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 678.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 714.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 750.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 786.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 822.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 858.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 894.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 930.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 966.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1002.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1038.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1074.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1110.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1146.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1182.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1218.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1254.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1290.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1326.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1362.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1398.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1434.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1470.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1506.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1542.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1578.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1614.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1650.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1686.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1722.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1758.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1794.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1830.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1866.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1902.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1938.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 1974.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
[ordered-list, [192.0, 2010.0, 1298.0, 36.0], shoonya_2sO6L0JU0DK9XO, 5735910]
