[1806, 1262]
[folio, [1025.0, 94.0, 100.0, 36.0], xVNcVwVboT, 5681004]
[paragraph, [91.0, 164.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 200.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 236.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 272.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 308.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 344.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 380.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 416.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 452.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 488.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 524.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 560.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 596.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 632.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 668.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 704.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 740.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 776.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 812.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 848.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 884.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 920.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 956.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 992.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 1028.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
[paragraph, [91.0, 1064.0, 512.0, 36.0], shoonya_1s5DCIK378G2ZP, 5681004]
